,BHP Group share of production(),BHP Group share of production(),BHP Group share of production(),BHP Group share of production()
,Year ended 30 June,Year ended 30 June,Year ended 30 June,Year ended 30 June
,BHP interest,BHP interest,BHP interest,BHP interest
,%,2021,2020,2019
Iron ore,,,,
Western Australia Iron Ore,,,,
Production('000 tonnes)6),,,,
"Newman, Australia",85,"63,221","65,641",66.622
"Area C Joint Venture, Australia",85,"52,386","51,499","47,440"
"Yandi Joint Venture, Australia",85,"68,596",69.262,"65,197"
"Jimblebar, Australia(7)",85,"67,393","61,754","58,546"
"Wheelarra, Australia",85,。,3,159
Total Western Australia Iron Ore,,"251,596","248,159",237.964
"Samarco,Brazil(4)",50,"1,938",1,
Total iron ore,,"253,534","248,159","237,964"
Coal,,,,
Metallurgical coal,,,,
Production('000 tonnes)e),,,,
"Blackwater, Australia",50,"6,224","5,545","6,603"
"Goonyella Riverside,Australia",50,"9,448",8.765,8.563
"Peak Downs, Australia",50,"5,892",5.783,5.933
"Saraji, Australia",50,"4,489","4,963",4.892
"Daunia, Australia",50,"1,928",2.170,2.178
"Caval Ridge, Australia",50,"3,903",4349,"3.,967"
Total BHP Mitsubishi Alliance,,"31,884","31,575","32,136"
"South Walker Creek, Australia(9)",80,"4,887","5,415",6.194
"Poitrel, Australia(9)",80,3.854,"4,128",4071
Total BHP Mitsui Coal,,"8,741",9.543,"10,265"
Total Queensland Coal,,"40,625",41.118,"42,401"
Energy coal,,,,
Production('000 tonnes),,,,
"New South Wales Energy Coal, Australia",100,"14,326","16,052","18,257"
"Cerrejon, Colombia(4)",33.3,"4,964",7.115,"9,230"
Total energy coal,,"19,290",23.167,27.487
