Consolidated Statement of Comprehensive Income and Retained Earnings,2021 US$M,2020 US$M Restated
Revenue,"37,568","24,514"
Other income,"4,751","2,239"
Expenses excluding net finance costs,"(26,789)","(15,415)"
Net finance costs,(247),(399)
Total taxation expense,"(5,495)","(2,723)"
Profit after taxation,"9,788","8,216"
Total other comprehensive income,1,12
Total comprehensive income,"9,789","8,228"
Retained earnings at the beginning of the financial year,"48,666","44,723"
Impact of change in accounting policies (Note 39),,(32)
Retained earnings at the beginning of the financial year (restated),"48,666","44,691"
Profit after taxation for the year,"9,788","8,216"
Transfers to and from reserves,(52),(27)
Dividends,"(8,125)","(4,214)"
Retained earnings at the end of the financial year,"50,277","48,666"
