2020 US$M,Associates,Antamina,Cerrejón,Individually immaterial,Joint ventures,Samarco,Individually immaterial,Total
Current assets,974,712,49,4743,2462,3601,3,3654
Non-current assets,4743,2462,3601,4743,2462,3601,3,3654
Current liabilities,239,170,7961,239,170,7961,3,8104
Non-current liabilities,1173,854,5447,1173,854,5447,3,6474
Net assets/(liabilities) - 100%,4305,2150,9758,4305,2150,9758,3,10238
Net assets/(liabilities) - Group share,1453,717,4879,1453,717,4879,3,6049
Adjustments to net assets related to accounting policy adjustments,59,256,256,59,256,256,3,586
Investment in Samarco,405,405,405,405,405,405,3,1215
Impairment of the carrying value of the investment in Samarco,930,930,930,930,930,930,3,2790
Additional share of Samarco losses,3341,3341,3341,3341,3341,3341,3,10024
Unrecognised losses,1807,1807,1807,1807,1807,1807,3,5421
Carrying amount of investments accounted for using the equity method,1453,776,356,1453,776,356,3,2585
Revenue - 100%,2464,1091,26,2464,1091,26,3,3621
Profit/(loss) from Continuing operations - 100%,629,-182,-3617,629,-182,-3617,3,-3476
Share of profit/(loss) of equity accounted investments,212,-68,-1918,212,-68,-1918,3,-1904
Impairment of the carrying value of the investment in Samarco,95,95,95,95,95,95,3,285
Additional share of Samarco losses,93,93,93,93,93,93,3,279
Unrecognised losses,1412,1412,1412,1412,1412,1412,3,4246
"Profit/(loss) from equity accounted investments, related impairments and expenses",212,-68,-148,-508,-148,-508,3,-512
Comprehensive income/(loss) - 100%,629,-182,-3617,629,-182,-3617,3,-3476
Share of comprehensive income/(loss) - Group share in equity accounted investments,212,-68,-148,-508,-148,-508,3,-512
Dividends received from equity accounted investments,105,9,12,-,-,-,3,126
