A,A,B,C,,D
Period,Total number of shares purchased and transferred to,Average price paid,Total number of shares purchased as partof publiclyannounced plans or programs,Maximum number of shares that may yet be,Maximum number of shares that may yet be
Period,Total number of shares purchased and transferred to,employees to satisfy,pershare(11),,purchased under the plans or programs
Period,Total number of shares purchased and transferred to,US$,,BHP Group Limited(2),BHP Group Plc
1Jul 2020 to 31 Jul2020,employee awards 1,1,,,"211,207,180(3)"
1Aug 2020 to 31Aug 2020,"6,158,718",28.32,,,"211,207,180(3)"
1Sep 2020 to 30 Sep 2020,1,1,,,"211,207,180(3)"
1Oct 2020 to 31Oct 2020,,,,,"211,207,180(3)"
1Nov 2020 to 30 Nov 2020,,,,,"211,207,180(3)"
1 Dec 2020 to 31 Dec 2020,1,一,,,"211,207,180(3)"
1 Jan 2021to 31Jan 2021,1,1,,,"211,207,180(3)"
1Feb 2021to 28 Feb 2021,1,1,,,"211,207,180(3)"
1Mar 2021to 31Mar 2021,"882,454",36.57,,,"211,207,180(3)"
1Apr 2021to 30 Apr 2021,1,1,,,"211,207,180(3)"
1May 2021to31May 2021,1,1,,,"211,207,180(3)"
1 Jun 2021 to 30 Jun 2021,"731,235",38.00,,,"211,207,180(3)"
Total,"7,772,407",30.16,,,"211,207,180(3)"
