BHP Group Plc2021 2020Shares Shares,BHP Group Plc2021 2020Shares Shares,BHP Group Plc2021 2020Shares Shares,,
BHP Group Plc2021 2020Shares Shares,BHP Group Plc2021 2020Shares Shares,BHP Group Plc2021 2020Shares Shares,2021Shares,2020Shares
Share capital issued (issued and fully paid),,,,
Opening number of shares,"2,112,071,796","2,112,071,796",,
Purchase of shares by ESOP Trusts,"(185,054)","(185,297)",,
Employee share awards exercised following vesting,"173,644",222.245,,
Movement in treasury shares under Employee Share Plans,"11,410","(36,948)",,
Closing number of shares(1),"2,112,071,796","2,112,071.796",,
Comprising:,,,,
Shares held by the public,"2,112,057,615","2,112,069,025",,
Treasury shares,"14,181",2.771,,
Other share classes,,,,
Special Voting Share of US$0.50 par value,1,1,,
5.5% Preference shares of £1 each,"50,000","50,000",,
