,Yearended 30 June,2021,2020,2019
Petroleum United States -Conventional,,190,200,200
,Scope1 Scope 2(market-based),0.0,0.0,00
,Operational GHG total,190,200,200
,Production (Mboe),"8,820",7.800,9.340
,OperationalGHGemissions intensity (ktCO-e/Mboe)14),0.02,0.03,0.02
Australia,Scope 1(15),260,350,310
,Scope 2(market-based),：,0,0
,Operational GHG total,260,350,310
,Production (Mboe),"11,420",11.570,12.170
,OperationalGHGemisionsitensity(ktCO-e/Mboe)4,0.02,0.03,0.03
Other,Scope1,330,200,710
,Scope 2(market-based),品,20,20
,Operational GHG total,330,220,730
,Production (Mboe),"9,310","10,320",13.630
,Operational GHG emissionsintensity (ktCO2-e/Mboe)14),0.04,0.02,0.05
Total petroleum,Scope1,780,750,1.220
,Scope2,。,20,20
,Operational control GHG total,780,770,1.240
Copper,,,,
"Escondida, Chile",Scope1,860,860,930
,Scope 2 (market-based),"3,320",3.260,3.190
,Operational GHG total,"4,180",4.120,4.120
,Production (kt),"1,070",1.190,1.140
"Pampa Norte, Chile",OperationalGHG emissions intensity (ktCO-e/kt)14),3.91,3.46,3.61
,Scope1,300,360,340
,Scope 2 (market-based),550,530,550
,Operational GHG total,850,890,890
,Production (kt),220,240,250
,Operational GHG emissionsintensity (ktCO2-e/t)14),3.86,3.71,3.56
"Olympic Dam, Australia",Scope1,230,230,200
,Scope 2(market-based),460,450,470
,Operational GHG total,690,680,670
,Production (kt),210,170,160
,OperationalGHGemissionsintensity(kte/t)14),3.29,4.00,4.19
Totalcopper,Scope1,1.390,"1,450",1.470
,Scope2,"4,330","4,240","4,210"
,OperationalcontrolGHGtotal,"5,720",5.690,5.680
Iron ore,,,,
"Western AustraliaIron Ore,Australia",Scope1 Scope 2(market-based),"2,230 260",2.210 260,2.050
,Operational GHG total,"2,490","2,470",260 2.310
,Production (kt),"284,100",281060,"269,600"
,OperationalGHGemissionsintensity(kte/t)4),0.01,0.01,0.01
Total iron ore,Scope1,"2,230",2.210,2.050
,Scope2,260,260,260
,OperationalcontrolGHG total,"2,490",2.470,2.310
Coal,,,,
"Metallurgicalcoal-BMA,Queensland Coal, Australia",Scope1,3.950,3.620,3.520
,Scope 2(market-based)10),870,1040,1030
,Operational GHG total,"4,820","4,660",4.550
,Production (kt),"63,770",63.150,"64,270"
"Metallurgical coal- BMC,Queensland",Operational GHG emisons intensity (ktCO2-e/kt)(14,0.08,0.07,0.07
"Coal, Australia",Scope1,510,460,420
,Scope 2(market-based)10),60,80,60
,Operational GHG total,570,540,480
,Production (kt) OperationaemissositensityC/t)),"8,740",9.540,"10,270"
Energycoal-NewSouth Wales Energy,,0.07,0.06,0.05
"Coal, Australia",Scope1,550 80,530,520
,Operational GHG total,630,610,610
,Production (kt),"14,330","16,050","18,260"
,Operational GHG emissions intensity (ktCO2-e/kt)14),0.04,0.04,0.03
,Scope1,"5,010",4610,"4,460"
,Scope2,"1,010",1.200,1.180
,Operational control GHG total,"6,020",5.810,"5,640"
Nickel,,,,
"Nickel West, Australia",Scope1,530,510,470
"Nickel West, Australia",Scope 2(market-based),550,550,550
"Nickel West, Australia",Operational GHG total,"1,080",1060,1020
"Nickel West, Australia",Production (kt),90,80,90
"Nickel West, Australia",Operational GHG emissions intensity (ktCO2-e/kt)(4),12.00,13.25,11.33
"Nickel West, Australia",Scope1,530,510,470
Total nickel,Scope2,550,550,550
Total nickel,Operational control GHG total,"1,080",1.060,1020
Total nickel,Scope1,"9,970","9,570",9.730
Total(16),Scope2,"6,190",6.280,6.210
Total(16),Operational control GHG total,"16,160","15,850","15,940"
Total(16),,0,,
operations,Scope1 Scope2,,0 0,470 0
operations,Operational control GHG total,。 。,0,470
operations,,,,
Total (excluding Discontinued operations)(6(7),Scope1 Scope 2(market-based),9.970,"9,570",9.260
Total (excluding Discontinued operations)(6(7),Operational GHG total,"6,190","6,280",6.210
Total (excluding Discontinued operations)(6(7),Production (t Cu-eq),"16,160 7,331,620",15.850,"15,470"
Total (excluding Discontinued operations)(6(7),Operational GHG emissions intensity (tonnes CO2-e per tonne of copper,,,"8,085,570 6,580,850"
Total (excluding Discontinued operations)(6(7),equivalent production)(4),2.2,2.0,2.4
