Board,Board,Board,Risk and AuditCommittee,Nomination andGovernanceCommittee,RemunerationCommittee,SustainabilityCommittee
Terry Bowen,12/12,12/12,11/11,4/40,,
Malcolm Broomhead,12/12,12/12,,6/6,,5/5
Xiaoqun Clever(2),8/8,8/8,777,,,
lan Cockerill,12/12,12/12,11/11,,,5/5
Anita Frew,12/12,12/12,11/11,,6/6,
Gary Goldberg,12/12,,,2/2(3),6/6,5/5
Mike Henry,12/12,12/12,,,,
Susan Kilsby,11/1214),11/1214),,4/46),6/6(5),
Ken MacKenzie,12/12,12/12,,6/6,,
Lindsay Maxsted6,4/4,4/4,4/4,,,
John Mogford,12/12,12/12,,4/4,,5/5
Christine O'Reilly(8),8/8,8/8,77,2/2,3/3,
Shriti Vadera(9),4.5/4.5（9）,4.5/4.5（9）,,2/2,2/300,
Dion Weisler 12/12,Dion Weisler 12/12,Dion Weisler 12/12,,,6/6,
