,Associates,Associates,Associates,Joint ventures,Joint ventures,Joint ventures
2018,Antamina,Cerrejon,Individually immaterial,Samarco(2),Individually immaterial,Total
Revenue - 100%,"3,203",2.094,,24,,
Profit/(loss)from Continuingoperations-100%,1168,309,,"(2,166)10)",,
Shareof profit/(loss) of equity accounted investments,394,103,,(1.075)m,,
Impairment of the carrying value of the investment in Samarco,/,1,,(96)m,,
Additional share of Samarco losses,1,1,,108,,
Unrecognised losses,,,,1189,,
"Profit/(los)fromequityaccountedinvestments,relatedimpairments",,,,,,
and expenses,394,103,(98),(945),,(546)
Comprehensive income/(loss)-100% Share of comprehensive income/(loss)- Group share,"1,168",309,,(2.166),,
inequityaccounted investments,394,103,（98),(945),,(546)
Dividends received from equity accounted investments,361,134,15,1,,510
