Employees,Employees,Environmental matters,Social matters andhuman rights,Social matters andhuman rights,Social matters andhuman rights,,Anti-corruption and anti-bribery matters,Other,,,
People and culture,People and culture,Climate change,Indigenous peoples,Indigenous peoples,Indigenous peoples,,Ethics and,Critical incidentriskmanagementRefertosections1.9and1.15,,,
Refer to section 1.12,Refer to section 1.12,Refer to section 1.13.7,Refertosection1.13.10,Refertosection1.13.10,Refertosection1.13.10,business conductRefer to section 1.13.6,business conductRefer to section 1.13.6,Critical incidentriskmanagementRefertosections1.9and1.15,,,
Workforce safety,Workforce safety,Portfolio resilience to,Human rights,Human rights,Human rights,business conductRefer to section 1.13.6,business conductRefer to section 1.13.6,Critical incidentriskmanagementRefertosections1.9and1.15,,,
Refer to section 1.13.4Workforce healthRefer to section 1.13.5,Refer to section 1.13.4Workforce healthRefer to section 1.13.5,,climate change,climate change,climate change,Refer to section 1.13.9,Refer to section 1.13.9,Our conductRefer to section 2.1.15,,,
Refer to section 1.13.4Workforce healthRefer to section 1.13.5,Refer to section 1.13.4Workforce healthRefer to section 1.13.5,Refer to section 1.13.7WaterRefer to section 1.13.13,Local communityengagementRefer to section 1.13.8,Local communityengagementRefer to section 1.13.8,Local communityengagementRefer to section 1.13.8,,,Our conductRefer to section 2.1.15,,,
Refer to section 1.13.4Workforce healthRefer to section 1.13.5,Refer to section 1.13.4Workforce healthRefer to section 1.13.5,Refer to section 1.13.7WaterRefer to section 1.13.13,Local communityengagementRefer to section 1.13.8,Local communityengagementRefer to section 1.13.8,Local communityengagementRefer to section 1.13.8,engagementRefer to section 1.13.8,men,Our conductRefer to section 2.1.15,,,
Refer to section 1.13.4Workforce healthRefer to section 1.13.5,Refer to section 1.13.4Workforce healthRefer to section 1.13.5,Refer to section 1.13.7WaterRefer to section 1.13.13,Local communityengagementRefer to section 1.13.8,Local communityengagementRefer to section 1.13.8,Local communityengagementRefer to section 1.13.8,engagementRefer to section 1.13.8,Refer to section 1.13.8Community livelihoodsand socialinvestmentRefer to section 1.13.11,Refer to section 1.13.8Community livelihoodsand socialinvestmentRefer to section 1.13.11,Refer to section 1.13.8Community livelihoodsand socialinvestmentRefer to section 1.13.11,,
Refer to section 1.13.4Workforce healthRefer to section 1.13.5,Refer to section 1.13.4Workforce healthRefer to section 1.13.5,EnvironmentRefer to section 1.13.12Land and biodiversityRefer to section 1.13.14,,,,,,,,,
Policies and standards available online(2),Policies and standards available online(2),,,,,,Refer to section 1.13.8Community livelihoodsand socialinvestmentRefer to section 1.13.11,Refer to section 1.13.8Community livelihoodsand socialinvestmentRefer to section 1.13.11,Refer to section 1.13.8Community livelihoodsand socialinvestmentRefer to section 1.13.11,,
Our Codeof ConductOur Requirements forSafetystandard,Our Codeof ConductOur Requirements forSafetystandard,Our Codeof Conduct Our Requirements for Our Requirements Our Code of Conduct Our CharterOur Requirements for Environmentand Climate forCommunity Our Requirements Sustainability CommitteeSafetystandard Change standard Human Rights for Supply(Minimum Termsof ReferenceOur Requirements for Water Stewardship Policy Statement requirementsforsuppliers) Tailings Storage FacilityHealthstandard Position Statement Indigenous Peoples standard Policy Statement Climate Change Policy StatementPosition Statement IndigenousPeoples StrategyPrincipal risks that have keylinks to the matters mentioned above(3)Operational events Significant social or Significant social or Ethical misconduct Operational eventsRefer to section 1.16 environmental impacts environmental impacts Refer to section 1.16 Refer to section 1.16Inadequate Refer to section 1.16 Refer to section 1.16 Ethical misconductbusiness resilience Low-carbon transition Refer to section 1.16Refer to section 1.16 Refer to section 1.16Inadequate businessresilience Refer to section 1.16Non-financial key performance indicatorseertct,Our Codeof Conduct Our Requirements for Our Requirements Our Code of Conduct Our CharterOur Requirements for Environmentand Climate forCommunity Our Requirements Sustainability CommitteeSafetystandard Change standard Human Rights for Supply(Minimum Termsof ReferenceOur Requirements for Water Stewardship Policy Statement requirementsforsuppliers) Tailings Storage FacilityHealthstandard Position Statement Indigenous Peoples standard Policy Statement Climate Change Policy StatementPosition Statement IndigenousPeoples StrategyPrincipal risks that have keylinks to the matters mentioned above(3)Operational events Significant social or Significant social or Ethical misconduct Operational eventsRefer to section 1.16 environmental impacts environmental impacts Refer to section 1.16 Refer to section 1.16Inadequate Refer to section 1.16 Refer to section 1.16 Ethical misconductbusiness resilience Low-carbon transition Refer to section 1.16Refer to section 1.16 Refer to section 1.16Inadequate businessresilience Refer to section 1.16Non-financial key performance indicatorseertct,Our Codeof Conduct Our Requirements for Our Requirements Our Code of Conduct Our CharterOur Requirements for Environmentand Climate forCommunity Our Requirements Sustainability CommitteeSafetystandard Change standard Human Rights for Supply(Minimum Termsof ReferenceOur Requirements for Water Stewardship Policy Statement requirementsforsuppliers) Tailings Storage FacilityHealthstandard Position Statement Indigenous Peoples standard Policy Statement Climate Change Policy StatementPosition Statement IndigenousPeoples StrategyPrincipal risks that have keylinks to the matters mentioned above(3)Operational events Significant social or Significant social or Ethical misconduct Operational eventsRefer to section 1.16 environmental impacts environmental impacts Refer to section 1.16 Refer to section 1.16Inadequate Refer to section 1.16 Refer to section 1.16 Ethical misconductbusiness resilience Low-carbon transition Refer to section 1.16Refer to section 1.16 Refer to section 1.16Inadequate businessresilience Refer to section 1.16Non-financial key performance indicatorseertct,Our Codeof Conduct Our Requirements for Our Requirements Our Code of Conduct Our CharterOur Requirements for Environmentand Climate forCommunity Our Requirements Sustainability CommitteeSafetystandard Change standard Human Rights for Supply(Minimum Termsof ReferenceOur Requirements for Water Stewardship Policy Statement requirementsforsuppliers) Tailings Storage FacilityHealthstandard Position Statement Indigenous Peoples standard Policy Statement Climate Change Policy StatementPosition Statement IndigenousPeoples StrategyPrincipal risks that have keylinks to the matters mentioned above(3)Operational events Significant social or Significant social or Ethical misconduct Operational eventsRefer to section 1.16 environmental impacts environmental impacts Refer to section 1.16 Refer to section 1.16Inadequate Refer to section 1.16 Refer to section 1.16 Ethical misconductbusiness resilience Low-carbon transition Refer to section 1.16Refer to section 1.16 Refer to section 1.16Inadequate businessresilience Refer to section 1.16Non-financial key performance indicatorseertct,Our Codeof Conduct Our Requirements for Our Requirements Our Code of Conduct Our CharterOur Requirements for Environmentand Climate forCommunity Our Requirements Sustainability CommitteeSafetystandard Change standard Human Rights for Supply(Minimum Termsof ReferenceOur Requirements for Water Stewardship Policy Statement requirementsforsuppliers) Tailings Storage FacilityHealthstandard Position Statement Indigenous Peoples standard Policy Statement Climate Change Policy StatementPosition Statement IndigenousPeoples StrategyPrincipal risks that have keylinks to the matters mentioned above(3)Operational events Significant social or Significant social or Ethical misconduct Operational eventsRefer to section 1.16 environmental impacts environmental impacts Refer to section 1.16 Refer to section 1.16Inadequate Refer to section 1.16 Refer to section 1.16 Ethical misconductbusiness resilience Low-carbon transition Refer to section 1.16Refer to section 1.16 Refer to section 1.16Inadequate businessresilience Refer to section 1.16Non-financial key performance indicatorseertct,Our Codeof Conduct Our Requirements for Our Requirements Our Code of Conduct Our CharterOur Requirements for Environmentand Climate forCommunity Our Requirements Sustainability CommitteeSafetystandard Change standard Human Rights for Supply(Minimum Termsof ReferenceOur Requirements for Water Stewardship Policy Statement requirementsforsuppliers) Tailings Storage FacilityHealthstandard Position Statement Indigenous Peoples standard Policy Statement Climate Change Policy StatementPosition Statement IndigenousPeoples StrategyPrincipal risks that have keylinks to the matters mentioned above(3)Operational events Significant social or Significant social or Ethical misconduct Operational eventsRefer to section 1.16 environmental impacts environmental impacts Refer to section 1.16 Refer to section 1.16Inadequate Refer to section 1.16 Refer to section 1.16 Ethical misconductbusiness resilience Low-carbon transition Refer to section 1.16Refer to section 1.16 Refer to section 1.16Inadequate businessresilience Refer to section 1.16Non-financial key performance indicatorseertct,Our Codeof Conduct Our Requirements for Our Requirements Our Code of Conduct Our CharterOur Requirements for Environmentand Climate forCommunity Our Requirements Sustainability CommitteeSafetystandard Change standard Human Rights for Supply(Minimum Termsof ReferenceOur Requirements for Water Stewardship Policy Statement requirementsforsuppliers) Tailings Storage FacilityHealthstandard Position Statement Indigenous Peoples standard Policy Statement Climate Change Policy StatementPosition Statement IndigenousPeoples StrategyPrincipal risks that have keylinks to the matters mentioned above(3)Operational events Significant social or Significant social or Ethical misconduct Operational eventsRefer to section 1.16 environmental impacts environmental impacts Refer to section 1.16 Refer to section 1.16Inadequate Refer to section 1.16 Refer to section 1.16 Ethical misconductbusiness resilience Low-carbon transition Refer to section 1.16Refer to section 1.16 Refer to section 1.16Inadequate businessresilience Refer to section 1.16Non-financial key performance indicatorseertct,,,
