Notes,Notes,2021,2020
Notes,Notes,US$M,US$M
Continuing operations,,,
Revenue,2,"60,817","42.931 44,288"
Other income,5,510,777 393
Expenses excluding net finance costs,5,"(34,500)","(28,775) (28.022)"
"LosSfrom equity accounted investments,related impairments and expenses",31,(921),(512) (546)
Profit fromoperations,,"25,906","14,421 16,113"
Financial expenses,,"(1,378)",(1.262) (1.510)
Financial income,,73,351 446
Net finance costs,22,(1.305),(911) (1.064)
Profit before taxation,,"24,601","13,510 15.049"
Income tax expense,,"(10,921)","(4,708) (5,335)"
Royalty-related taxation (net of income tax benefit),,(229),(66) （194)
Total taxation expense,6,"(11,150)","(4,774) (5,529)"
Profit after taxation from Continuing operations,,"13,451",8.736 9.520
Discontinued operations,,,
Loss after taxation from Discontinued operations,29,-,1 (335)
Profit after taxation from Continuing and Discontinued operations,,"13,451","8,736 9.185"
Attributable to non-controlling interests,,"2,147",780 879
Attributable to BHP shareholders,,"11,304",7.956 8.306
Basic earnings per ordinary share (cents),7,223.5,157.3 160.3
Diluted earnings per ordinaryshare (cents)Basic earnings from Continuing operations per ordinary share (cents),7,223.0,157.0 159.9
Diluted earnings per ordinaryshare (cents)Basic earnings from Continuing operations per ordinary share (cents),7,223.5,157.3 166.9
Diluted earnings from Continuing operations per ordinary share (cents) 7,Diluted earnings from Continuing operations per ordinary share (cents) 7,223.0,157.0 166.5
