Year ended 30 June,2021,2020 20
Continuing operations,,
Revenue,"60,817","42.931 44,288"
Other income,510,777 393
Expenses excluding netfinance costs,"(34,500)","(28,775) (28,022)"
"Loss from equity accounted investments, related impairments and expenses",(921),(512) (546)
Profit from operations,"25,906","14,421 16.113"
Net finance costs,"(1,305)",（911) (1.064)
Totaltaxation expense,"(11,150)","(4.774) (5,529)"
Profit after taxation from Continuing operations,"13,451","8,736 9.520"
Discontinued operations,,
Loss after taxation from Discontinued operations,-,二 (335)
Profit after taxation from Continuing and Discontinued operations,"13,451","8.736 9,185"
Attributable tonon-controling interests,"2,147",780 879
Attributable to BHP shareholders,"11,304","7,956 8.306"
