,,2020,20
,202,,
Financial expenses,,,
Interest expense using the efective interest rate method:,,,
"Interest on bank loans, overdrafts and allother borrowings",610,1099,1.296
Interest capitalised at 2.83%(2020: 4.14%;2019: 4.96%)),(248),(308),(248)
Interest on lease liabilities,109,90,47
Discounting on provisions and other liabilities,467,452,470
Other gains and losses:,,,
Fairvalue change on hedged loans,(779),721,729
Fair value change on hedging derivatives,704,（788),(809)
Loss on bond repurchase(2),395,-,三
Exchange variations on net debt,99,（18）,6
Other,21,14,19
Total financial expenses,"1,378",1.262,1.510
Financialincome,,,
Interest income,(73),(351),(446)
Net finance costs,"1,305",911,1064
