Profit Earnings,Profit Earnings,Profit Earnings,Profit Earnings,Profit Earnings,Profit Earnings,Profit Earnings,Profit Earnings,Profit Earnings
Measure:,Profit after taxation from Continuing operations,"13,451",US$M Profit after taxation from Continuing,"US$M Net operating 13,451",Cash 1cashflowsfrom Continuing,"Us$M 27,234",Profitafter taxation fromContinuing,"US$M 13,451"
Made up of:,Profit after taxation,,operations Profit after taxation,,"operations Cash generated by the Group's consolidated operations,after dividends received, interest, proceeds and settlements of",operations,Profit after taxation,
Adjusted for:,Exceptionalitems before taxation Tax effect of exceptional items Exceptional,"4,470",Exceptionalitems,"4,470",related taxation.It excludes cash flowsrelating to investing and financing activities.,Exceptional items,,"5,797"
Adjusted for:,Exceptionalitems before taxation Tax effect of exceptional items Exceptional,"1,327",before taxation Tax effect of,"1,327",,after taxation Net finance costs excluding,,"1,220"
Adjusted for:,Exceptionalitems before taxation Tax effect of exceptional items Exceptional,(24),,exceptionalitems Depreciation and amortisation,"6,824",,exceptional items Income tax benefit,(337)
Adjusted for:,Exceptionalitems before taxation Tax effect of exceptional items Exceptional,attributable to non- controlling interests Exceptional items,,"excluding exceptional items 5,773 Impairments of property, plant",264,excluding net,on net finance costs Profit after taxation,"20,131"
Adjusted for:,Exceptionalitems before taxation Tax effect of exceptional items Exceptional,attributable to BHP shareholders Profit after taxation,"(2,147)","and equipment, financial assets and intangibles excluding",,finance costs and exceptional items Net Assets at the,,
Adjusted for:,Exceptionalitems before taxation Tax effect of exceptional items Exceptional,attributable to non- controlling interests,exceptional items Net finance,,,beginning of period Net Debt at the,"52,175 12,044",
Adjusted for:,Exceptionalitems before taxation Tax effect of exceptional items Exceptional,,costs excluding exceptional items,"1,220 9,823",,beginning of period Capital employed at the beginning,,"64,219"
Adjusted for:,Exceptionalitems before taxation Tax effect of exceptional items Exceptional,,Taxation expense excluding exceptional items,,,of period Net Assets at the end of period,"55,605",
,,,,,,Net Debt at the end of period Capital employed,"4,121","59,726"
To reach Underlying attributable profit,,,"17,077 Underlying EBITDA",,,Average,at the end of period,"61,973"
our KPIs Why do we use it?,Underlying atributable profit allows the comparability of underlying financial performance by excluding the impacts of exceptional items and is also the basis on which our dividend payout ratio policy is applied.,,costs (i.e.depreciation from initial investment). It is a measure that,Underlying EBITDA is used to help assess current operational profitability excluding the impacts of sunk,"37,379 Net operating cash flows Net operating cash flows provide insights into how we are",,"capital employed 27,234 Underlying Return",32.5%
our KPIs Why do we use it?,Underlying atributable profit allows the comparability of underlying financial performance by excluding the impacts of exceptional items and is also the basis on which our dividend payout ratio policy is applied.,,costs (i.e.depreciation from initial investment). It is a measure that,Underlying EBITDA is used to help assess current operational profitability excluding the impacts of sunk,"37,379 Net operating cash flows Net operating cash flows provide insights into how we are",,on Capital Employed Underlying Return on Capital Employed,
our KPIs Why do we use it?,Underlying atributable profit allows the comparability of underlying financial performance by excluding the impacts of exceptional items and is also the basis on which our dividend payout ratio policy is applied.,,costs (i.e.depreciation from initial investment). It is a measure that,Underlying EBITDA is used to help assess current operational profitability excluding the impacts of sunk,"37,379 Net operating cash flows Net operating cash flows provide insights into how we are",,is an indicator of the Group's capital efficiency. It is provided on an,underlying basis to allow comparability
our KPIs Why do we use it?,Underlying atributable profit allows the comparability of underlying financial performance by excluding the impacts of exceptional items and is also the basis on which our dividend payout ratio policy is applied.,,costs (i.e.depreciation from initial investment). It is a measure that,Underlying EBITDA is used to help assess current operational profitability excluding the impacts of sunk,"37,379 Net operating cash flows Net operating cash flows provide insights into how we are",,managing costs and increasing productivity across BHP. by excluding the impacts of,of underlying financial performance exceptional items.
