2021,US$M,Interest bearing liabilities,Bank loans,Notes and debentures,Lease liabilities,Bank overdraft and short-term borrowings,Other,Derivatives (assets)/liabilities,Cross currency and interest rate swaps,Total
At the beginning of the financial year,2492,21045,3443,0,0,68,0,433,0,568
Proceeds from interest bearing liabilities,504,0,0,0,0,0,0,0,0,568
Settlements of debt related instruments,0,0,0,0,0,0,0,167,0,167
Repayment of interest bearing liabilities,0,6888,770,0,0,0,0,0,0,8395
Change from Net financing cash flows,0,6888,770,0,0,64,0,167,0,7660
Other movements:,0,579,0,0,0,0,0,0,0,184
Loss on bond repurchase,0,0,0,0,0,0,0,0,0,0
Interest rate impacts,0,0,0,0,0,0,0,0,0,704
Foreign exchange impacts,0,798,115,0,0,0,0,0,0,796
Lease additions,0,0,0,0,0,0,0,0,0,0
Remeasurement of index-linked freight contracts,0,0,0,0,0,0,0,0,0,0
Other interest bearing liabilities/derivative related changes,0,0,0,0,0,0,0,0,0,0
At the end of the financial year,2260,14769,3896,0,0,58,0,557,0,
