Society,Social investment spend,US$174.8m,US$80.2 million,US$771 million,US$93.5 million,US$149.6 million,US$174.8 million
Target\tFY2021 result\tYear-on-year\t,,,,,,,
Zero work-related fatalities\tWorkplace fatalities\tWorkplace fatalities\t,,,,,,,
Year-on-year improvement of total recordable injury frequency (TRIF) per million hours worked\tTotal recordable injury frequency decreased by 11% compared to FY2020\tTotal recordable injury frequency decreased by 11% compared to FY2020\t,,,,,,,
50 per cent reduction in the number of workers potentially exposed to our most material exposures of diesel particulate matter,respirable silica and coal mine dust compared to our FY2017 baseline by FY2022\tOccupational exposures 70% reduction compared to FY2017 baseline\tOccupational exposures 70% reduction compared to FY2017 baseline\t,,,,,,
Zero significant community events\tFY2021\tFY2017\t,,,,,,,
Not less than 1 per cent of pre-tax profits invested in community programs that contribute to the quality of life in the communities where we operate and support the achievement of the UN Sustainable Development Goals\tSocial investment spend US$174.8m\tSocial investment spend US$174.8m\t,,,,,,,
By FY2022,implement our Indigenous Peoples Strategy across all our operated assets through the Regional Indigenous People Plans being implemented across Australia (Reconciliation,,,,,,
Climate change,Regional Indigenous People Plans being implemented across Australia (Reconciliation Action Plan (RAP)) and North and South America,,,,,,
Environment,Greenhouse gas emissions,16.2 MtCO₂-e,14.6 million tonnes carbon dioxide equivalent (MtCO₂-e),17 MtCO₂-e,15.9 MtCO₂-e,15.9 MtCO₂-e,16.2 MtCO₂-e
Environment,Zero significant environmental events,0,,,,,
Environment,Reduce FY2022 withdrawal of fresh water,27%,freshwater withdrawal reduction from FY2017 baseline,"156,120 ML","140,515ML","155,570ML","126,997ML,113,444ML"
Environment,"By FY2022, improve marine and terrestrial biodiversity outcomes by developing a framework to evaluate and verify the benefits of our actions, in collaboration with others","Progressed framework development, including pilots and approaches to data validation in collaboration with others. On track to deliver by end of FY2022",Year-on-year progress on development of framework to evaluate and verify the benefits of our actions,,,,
