,,,,,,,As at 30 June 2020,As at 30 June 2020,As at 30 June 2020,As at 30 June 2020,As at 30 June 2020
,Total Marketable Reserves,Total Marketable Reserves,Total Marketable Reserves,Total Marketable Reserves,Reervye,BHP interest %,Total Marketable Reserves,Total Marketable Reserves,Total Marketable Reserves,Total Marketable Reserves,Rerye (years)
,Mt,%Ash %VM,%S,(years),Reervye,BHP interest %,Mt,%Ash,%VM,%S,Rerye (years)
,405,9.2,25.3,0.53,31,50,419,9.1,25.3,0.53,35
,108,9.3,23.5,0.55,,,112,9.2,23.5,0.55,
,623,10.6,21.8,0.61,38,50,444,10.6,22.3,0.62,27
,196,11.0,22.3,0.57,27,50,196,11.0,22.2,0.57,27
,318,10.5,18.0,0.65,31,50,339,10.5,18.0,0.65,33
,165,10.3,16.7,0.70,65,50,165,10.3,16.7,0.70,65
,331,9.0,26.3,0.42,25,50,352,9.0,26.3,0.42,27
,73,8.2,20.2,0.34,16,50,80,8.2,20.3,0.34,17
,,9.2,,,15,80,102,9.2,13.5,0.29,16
,98,,13.5,0.29,8.5,80,44,8.1,23.1,0.31,9.6
,39,8.1,23.1,0.31,,,,,,,
