Earnings attributable to BHP shareholders (US$M),,,
,2021,2020,2019
- Continuing operations,"11,304","7,956",8.648
- Total,"11,304",7.956,8.306
Weighted average number of shares (Million),,,
,2021,2020,2019
- Basic,"5,057",5.057,5.180
- Diluted,"5,068",5.069,"5,193"
Basic earnings per ordinary share (US cents),,,
-Continuing operations,223.5,157.3,166.9
- Total,223.5,157.3,160.3
Diluted earnings per ordinary share (US cents),,,
- Continuing operations,223.0,157.0,166.5
- Total,223.0,157.0,159.9
Headline earnings per ordinary share (US cents),,,
-Basic,284.8,171.1,164.9
- Diluted,284.2,170.7,164.5
