Alternative Performance Measures (APMs),Reasons why we believe the APMs are useful,Calculation methodology
Unit cost,Used to assess the controllable financial performance of the Group's assets for each unit of production. Unit costs are adjusted for site specific non-controllable factors to enhance comparability between the Group's assets.,"Ratio of net costs of the assets to the equity share of sales tonnage. Net costs is defined as revenue less Underlying EBITDA and excludes freight and other costs,depending on the nature of each"
,,asset.Freight is excluded as the Group believes it provides a similar basis of comparison to our peer group.
,,"Petroleum unit costs exclude: ：exploration,development and evaluation"
,,expense as these costs do not represent our cost performance in relation to current production and the Group believes it provides a
,,similar basis of comparison to our peer group
,,other costs that do not represent underlying cost performance of the business.
,,Escondida unit costs exclude: -by-product credits being the favourable
,,impact of by-products (such as gold or silver) to determine the directly attributable costs of
,,copper production.
,,"WAIO,Queensland Coal and NSWEC unit"
,believes exclusion provides a similar basis of comparison to our peer group.,"costs exclude: -royalties as these are costs that are not deemed to be under the Group's control,and the Group"
