What we assured(Limited Assurance Subject Matter),What we assured itagainst(Criteria)
BHP's qualitative disclosures in sections 1.12 and 1.13 of the FY21 Annual Report,-Management's own publicly disclosed criteria
BHP's Sustainability policies and standards as disclosed in the ICMM tab in BHP's ESG Standards and Databook www.bhp.com/FY21ESGStandardsDatabook.,International Council on Mining and Metals (ICMM) Mining Principles and relevant Performance Expectations (PE) (2O2O)and mandatory Position Statements (Subject Matter 1)
BHP's identification and reporting of its material sustainability risks and opportunities described within the FY21 Annual Reportand online at bhp.com/materialityassessment,= ICMM Subject Matter 2 Global Reporting Initiative (GRl) Principles for defining report content
BHP's implementation of systems and approaches to manage its material sustainability risks and opportunities,ICMM Subject Matter 3
"BHP's reported performance of its material sustainability risks-ICMM Subject Matter 4 and opportunities in sections 1.12,1.13,and 4.8 of the FY21 Annual Report",Management'sownpubliclydisclosed criteria including GRI Topic Specific Standards and Sustainability Accounting Standards Board (SASB) Mining and
BHP's prioritisation process for the selection of assets for PE validation reported onlineat bhp.com/ sustainabilitystandards,Metals Standard -ICMM Subject Matter 5
"Water stewardship reporting,atan asset level, in the FY21 Annual Report and supporting disclosures included online at bhp.com/water",-ICMM guidance and minimum disclosure Standards: A Practical Guideto Consistent Water Reporting
"Inaddition,wewereengagedbyBHPtoprovidereasonableassuranceoverthefollowing informationinaccordancewith the noted criteria:","Inaddition,wewereengagedbyBHPtoprovidereasonableassuranceoverthefollowing informationinaccordancewith the noted criteria:"
Whatwe assured(Reasonable Assurance Subject Matter),What we assured it against (Criteria)
Scope 1and 2 Greenhouse Gas emissions as reported in section 1.13.7and 4.8.5 of the FY21Annual Report,World Resource Institute/World Business Council for Sustainable Development (WRI/WBCSD) Greenhouse Gas Protocol
