"Samarcodamfailureprovisionsrecognised,includingtheGermanodamdecommissioning,andcontingentliabilitesdisclosed Losses in theperiod attributable to thedam failure (pre-taxandfinance costs): US$1.Obillon (2O2O: US$O.1billion) Provisions: US$2.8 billion (2020: US$2.1 billion)","Samarcodamfailureprovisionsrecognised,includingtheGermanodamdecommissioning,andcontingentliabilitesdisclosed Losses in theperiod attributable to thedam failure (pre-taxandfinance costs): US$1.Obillon (2O2O: US$O.1billion) Provisions: US$2.8 billion (2020: US$2.1 billion)"
Contingent liability disclosure in Note 34,Contingent liability disclosure in Note 34
"Why significant Referto Note3 'Exceptional items',Note4'Significant events","How our audit addressed the key audit matter The primary audit procedures we performed,amongst others,included"
- Samarco dam failure'and Note 34‘Contingent liabilities' There were a number of significant judgements and disclosures made by the Group in relation to the Samarco,"the following: ：We assessed the design of,and tested the operating effectiveness of the internal controls over the Samarco dam failure accounting and disclosure process."
"dam failure and the Germano dam decommissioning, including: Determining the extent of the Group and BHP Billiton Brasil Ltda's legal obligation to continue to fund the costs associated with the Samarco dam failure,and the","This included testing controls over: ：The determination of the provision for the remediation of the Samarco dam failure, including significant assumptions such as the cost estimate to remediate,the nature and extent of remediation activities and compensation"
"quantification of the continued obligation required by the Governance Agreement, Framework Agreement and Preliminary Agreement; Determining the costs of the decommissioning of the",for the impacted peoples;and The Group's assessment of the legal claims and determination of the associated provision and related contingent liability disclosures. We assessed the key assumptions used to determine the provision recorded
"Germano dam complex; Determining the status,accounting treatment and quantification (if applicable) of the legal claims against BHP Group Limited, BHP Group Plc, BHP Billiton Brasil",by the Group in relation to potential obligations by: - Understanding the impact of any Brazilian court decisions on the number and compensation category of impacted peoples; Understanding the impact of any Brazilian court decisions on the infrastructure
Ltda and Samarco; Determining the status of any potential settlements; and Disclosures relating to the contingent liabilities from the various legal claims and other circumstances that,"remediation program relating to the resettling of communities impacted by the dam failure; Inquiring with the Group's subject matter experts for the various remediation programs regarding the cost estimate to remediate the environment, residents'"
"represent exposures to Samarco and the Group. We identified the Samarco dam failure provisions recognised,and contingent liabilities disclosures as a key audit matter as auditing these estimates is complex. There is a high degree of estimation uncertainty, together with a wide range of reasonable outcomes.","wellbeing and infrastructure damaged by the dam failure; Evaluating the qualifications, competence and objectivity of the Group's subject matter experts,and the independent external party that contribute to the determination of the cash flow estimates by considering their qualifications, scope of work and remuneration structure;"
"Significant judgement was required in relation to assessing the completeness and measurement of the estimated cash outflow related to the provisions and contingent liabilities, including the probability of the outflow.This is due to: - The significant size of the potential claims, combined with the multi-jurisdictional legal and","Comparing the nature and extent of remediation activities described in the Framework Agreement to the activities included in the cash flow forecasts; Selecting a sample of cost estimates included in the provision and considering the underlying supporting documentation,such as court decisions; Assessing the period in which a provision change was recorded by"
,"understanding when the event that caused the change occurred; Assessing the Germano dam decommissioning provision,with the assistance"
regulatory locations;,"of our subject matter specialists,as part of our audit procedures reported"
"High degree of judgement and estimation around certain key assumptions in the provision,including: Cost estimates of remediation and compensation requirements for the Samarco dam failure;",in the Closure and rehabilitation provisions key audit matter above; Determining whether or not it is possble to provide a range of outcomes or a reliable estimate of any potential settlement outcomes; and
The number and compensation category of,Evaluating the historical accuracy of prior year's forecasted cash flows by comparing to the current year's actual cash flows.
impacted peoples entitled to compensation; and,We read the claims and assessed their status and considered whether they now
Nature and extent of remediation activities.,"represented liabilities through: Inquiries with the Group's external and internal legal advisors,senior"
,"management, Group finance,and members of the Executive Leadership Team, with respect to the ongoing proceedings;"
,Inspection of correspondence with external legal advisors;and Independent confirmation letters received from external legal advisors.
,"We assessed the disclosures regarding the environmental and legal contingent liabilitiesas included in Note 34,and the relevant disclosures regarding the"
Key observations communicated to the Risk and Audit Committee,significant events relating to Samarco dam failure as included in Note 4against the disclosure requirements of the relevant accounting standards.
,Our procedures were performed by the Group engagement team.
-WereportedthattheSmarcodamfalureprovisionsarereasonableandthattheincreaseinthecostestimateswasaesultfnewinforation obtained during the period that could not have been anticipated in prior periods. Wereported that the contingentliabilities disclosures related to the Samarcodam failure are appropriate.,-WereportedthattheSmarcodamfalureprovisionsarereasonableandthattheincreaseinthecostestimateswasaesultfnewinforation obtained during the period that could not have been anticipated in prior periods. Wereported that the contingentliabilities disclosures related to the Samarcodam failure are appropriate.
