,,2020,29
Year ended 30 June,2021,Restated,Restated
Profit after taxationfrom Continuing and Discontinued operations,"13,451","8,736",9.185
Exceptional items),"5,797",1.305,818
Subtotal,"19,248","10,041",10.003
Adjusted for:,,,
Net finance costs,"1,305",911,1072
Exceptional itemsincluded withinnetfinance costs),(85),（93),（108)
Income tax benefit on net finance costs,(337),(267),(319)
Profit after taxation excluding net finance costs and exceptional items,"20,131",10.592,"10,648"
Net assetsat thebeginningoftheperid2),"52,175","51,753",60.599
Net debt atthe beginning oftheperiod,12.044,"9,446",11.605
Capital employed atthe beginning of the period,"64,219","61,199",72.204
Net assets at the end of the period(2),"55,605","52,175","51,753"
Net debt atthe endof the period,"4,121",12.044,9.446
Capital employed at the end of the period,"59,726","64,219",61.199
Average capital employed,"61,973","62,709","66,702"
Underlying Return on Capital Employed,32.5%,16.9%,16.0%
