Australia Production Unit,,Bass Strait,North West Shelf,Atlantis,Shenzi,Mad Dog,Trinidad/Tobago,Algeria,Third-party products,Other,Total Petroleum
327,"1,066","1,102","1,076",560,,417,,204,164,204,893
361,"1,102","1,237","1,657",561,,216,,191,159,159,
507,"1,237",979,,,979,319,,287,258,258,
Escondida,Pampa Norte,Olympic Dam,Third-party products,Total Copper,Western Australia Iron Ore,Third-party products,Other,Total lron Ore,Queensland Coal,New South Wales Energy Coal,Third-party products
"9,470","1,801","2,211",,"2,244","34,337",18,120,"34,475","4,315",839,-
"6,719","1,395","1,463",,"1,089","20,663",15,119,"20,797","5,357",885,-
"6,876","1,502","1,351",,"1,109","17,066",32,157,"17,255","7,679","1,421",
Total Iron Ore,Other,Group and unallocated items,Inter-segment adjustment,Total revenue,,,,,,,
"34,475",,"1,567",-51,"60,817",,,,,,,
"20,797",,"1,219",-63,"42,931",,,,,,,
"17,255",,"1,225",-81,"44,288",,,,,,,
