Year ended 30 June,2021,302
Net debt at the beginning of the period,"(12,044) (9,446)","(12,044) (9,446)"
Net operating cash flows,"27,234","15,706"
Net investing cash flows,"(7,845)","(7,616)"
Net financing cash flows,"(17,922)","(9,752)"
Net increase/(decrease)in cash and cash equivalents from Continuing and Discontinued operations,"1,467",(1.662)
Carrying value of interest bearing liability repayments,"7,433",1.533
Carrying value of debt related instruments (proceeds)/settlements,(167),157
Carrying value of cash management related instruments setlements/(proceeds),403,(451)
Fair value adjustment on debt (including debt related instruments),58,88
Foreign exchange impacts on cash (including cash management related instruments),（1,(26)
IFRS 16 leases taken on at 1 July 2019,-,"(1,778)"
Lease additions,"(1,079)",(363)
Other,(191),（96)
Non-cash movements,"(1,213) (2.175)","(1,213) (2.175)"
Net debt at the end of the period,"(4,121) (12,044)","(4,121) (12,044)"
