Australia,United States,Other(d),Total
Reserves at 30 June 2018,529.0(e),793.8(f)(i),"76.7(g),1399.5(h)(i)"
Reserves at 30 June 2019,474.5(e),302.2(f),"63.9(g),840.6(h)"
Reserves at 30 June 2020,378.2(e),300.7(f),"69.1(g),748.0(h)"
Reserves at 30 June 2021,313.2(e),290.9(f),"60.9(g),665.0(h)"
Developed,,,
"Proved developed oil, condensate, natural gas and NGL reserves",439.6,464.7,"73.9,978.2"
"Proved developed oil, condensate, natural gas and NGL reserves",414.9,144.1,"62.2,621.2"
"Proved developed oil, condensate, natural gas and NGL reserves",312.6,148.3,"48.6,509.5"
Developed reserves as of 30 June 2021,266.3,154.8,"43.8,465.0"
Undeveloped,,,
"Proved undeveloped oil, condensate, natural gas and NGL reserves",89.4,329.2,"2.8,421.3"
"Proved undeveloped oil, condensate, natural gas and NGL reserves",59.6,158.1,"1.7,219.4"
"Proved undeveloped oil, condensate, natural gas and NGL reserves",65.6,152.4,"20.5,238.5"
Undeveloped reserves as of 30 June 2021,46.9,136.1,"17.1,200.1"
