Year ended 30 June 2021 US$M,Underlying,Underlying,Underlying,Underlying EBIT,Net operating assets,Capital expenditure,Exploration gross,Exploration toprofit
Year ended 30 June 2021 US$M,Revenue,EBITDA,D&A,Underlying EBIT,Net operating assets,Capital expenditure,Exploration gross,Exploration toprofit
Queensland Coal,"4,315",593,735,(142),"7,843",512,,
New South Wales Energy Coalm),927,(87),144,(231),(289),50,,
Colombia((5),281,74,86,(12),-,21,,
Other(2),-,(122),14,(136),(42),18,,
Total Coalfrom Group production,"5,523",458,979,(521),"7,512",601,,
Third-party products,-,-,-,-,-,-,,
Total Coal,"5,523",458,979,(521),"7,512",601,20,7
Adjustment for equity,(369),(170),(114),(56),-,(22),-,
accountedinvestments(3)4) Total Coal statutory result,"5,154",288,865,(577),"7,512",579,20,- 7
