US$M,Underlying EBITDA for year ended 30 June 2020,Net price impact:,Change in sales prices,Price-linked costs,Change in volumes
,"22,071",,"16,965",-870,"""-312,"""
,,,,,
,,,,,
Change in controllable cash costs:,Operating cash costs,Exploration and business development,,,
,(34),109,75,,
Change in other costs:,Exchange rates,Inflation,Fuel and energy,Non-Cash,One-off items
,"(1,588)",(286),223,282,(122)
Asset sales,Ceased and sold operations,Other items,,,
,"17,242",682,,,
Underlying EBITDA for year ended 30 June 2021,"37,379",,,,
