Year ended 30 June 2021,,Underlying,,Underlying,Net operating,Capital,Exploration,Exploration
US$M,Revenue(4),EBITDA,D&A 186,EBIT,assets 64,expenditure 23,gros(5),to profit(6)
Australia Production Unit() Bass Strait,"327 1,066",202 798,775,16 23,"1,136",70,,
North West Shelf,893,761,239,522,"1,281",104,,
Atlantis,560,401,162,239,"1,109",178,,
Shenzi,417,309,175,134,970,113,,
Mad Dog,231,174,54,120,"1,885",308,,
Trinidad/Tobago,204,80,44,36,433,152,,
Algeria,164,135,-,135,107,2,,
Exploration,-,(296),122,(418),"1,148",三,,
Other(2,85,(262),113,(375),(169),44,,
Total Petroleum from,,,,,,,,
Group production,"3,947","2,302",1.870,432,"7,964",994,,
Third-party products,11,1,-,1,-,-,,
Total Petroleum,"3,958","2,303","1,870",433,"7,964",994,322,382
Adjustment for equity accounted investments(3),(12),(3),(3),-,-,-,1,
Total Petroleum statutory result,"3,946","2,300","1,867",433,"7,964",994,322,- 382
