,2021,2020 21
Cash flow statement,,
Loss before taxation,(1.087),（176) (1.060)
Adjustments for:,,
Samarco impairment expense(3),111,95 96
Samarco Germano dam decommissioning(4),15,(46) 263
Samarco dam failure provision(5),"1,000",459 586
Fair valuechange on forwardexchange derivatives6),(136),- 1
Net finance costs(7),85,93 108
Changes inassets and liabilities:,,
Trade and other payables,5,5 （4)
Net operating cash flows,(7),430 [11)
Net investment and funding of equity accounted investments(9),(470),(464) （424)
Net investing cash flows,(470),(464) (424)
Net decrease in cash and cash equivalents,(477) (34) (435),(477) (34) (435)
