Year ended 30 June,2021,2020
Coal,Scope 1,"1970,1810"
Coal,Scope 2(10),"440,520"
Coal,Equity share GHG total,"2410,2330"
Coal,Scope 1,"410,370"
Coal,Scope 2(10),"50,70"
Coal,Equity share GHG total,"460,440"
Coal,Scope 1,"550,530"
Coal,Scope 2,"80,80"
Coal,Equity share GHG total,"630,610"
Coal,Total coal,"Scope 1,2930,2710"
Coal,Total coal,"Scope 2,570,670"
Coal,Total coal,"Equity share GHG total,3500,3380"
Nickel,Scope 1,"530,510"
Nickel,Scope 2,"550,550"
Nickel,Equity share GHG total,"1080,1060"
Nickel,Total nickel,"Scope 1,530,510"
Nickel,Total nickel,"Scope 2,550,550"
Nickel,Total nickel,"Equity share GHG total,1080,1060"
Non-operated assets(20),Scope 1,"3770,3780"
Non-operated assets(20),Scope 2,"90,100"
Non-operated assets(20),Equity share GHG total,"3860,3880"
Total(16),Scope 1,"10620,10420"
Total(16),Scope 2,"3040,3190"
Total(16),Equity share GHG total,"13660,13610"
Emissions from Discontinued operations,Scope 1,"50,230"
Emissions from Discontinued operations,Scope 2,"0,20"
Emissions from Discontinued operations,Equity share GHG total,"50,250"
Total (excluding Discontinued operations)(16)(17),Scope 1,"10570,10190"
Total (excluding Discontinued operations)(16)(17),Scope 2,"3040,3170"
Total (excluding Discontinued operations)(16)(17),Equity share GHG total,"13610,13360"
