2019,Revenue - 100%,Antamina,Cerrejón,Individually immaterial,Joint ventures,Samarco (2),Individually immaterial,Total
US$M,3203,2094,,24,,1168,309,
Profit/(loss) from Continuing operations - 100%,,1168,309,,2166 (10),,1075 (11),
Share of profit/(loss) of equity accounted investments,,394,103,,108,,118 (9),
Impairment of the carrying value of the investment in Samarco,,-,-,,96 (7),,-,-
Additional share of Samarco losses,,-,-,,108,,-,-
Unrecognised losses,,-,-,,118 (9),,-,-
"Profit/(loss) from equity accounted investments, related impairments and expenses",,394,103,-98,-945,,-546,
Comprehensive income/(loss) - 100%,,1168,309,-2166,,-546,,
Share of comprehensive income/(loss) - Group share in equity accounted investments,,394,103,-98,-945,,-546,
Dividends received from equity accounted investments,,361,134,15,,-510,,
