Notes,2021 US$M,2020 US$M,2019 US$M
Continuing operations,Revenue,60,"817,42,931,44,288"
Continuing operations,Other income,510,"777,393"
Continuing operations,Expenses excluding net finance costs,34,"500,28,775,28,022"
Continuing operations,Loss from equity accounted investments,related impairments and expenses,"921,512,546"
Profit from operations,Profit from operations,25,"906,14,421,16,113"
Profit from operations,Financial expenses,-1,"378,-1,262,-1,510"
Profit from operations,Financial income,73,"351,446"
Profit from operations,Net finance costs,-1,"305,-911,-1,064"
Profit from operations,Profit before taxation,24,"601,13,510,15,049"
Profit from operations,Income tax expense,-10,"921,-4,708,-5,335"
Profit from operations,Royalty-related taxation (net of income tax benefit),-229,"-66,-194"
Profit from operations,Total taxation expense,-11,"150,-4,774,-5,529"
Profit from operations,Profit after taxation from Continuing operations,13,"451,8,736,9,520"
Discontinued operations,Discontinued operations,29,"-,-"
Discontinued operations,Profit after taxation from Discontinued operations,-,"-,-335"
Discontinued operations,Profit after taxation from Continuing and Discontinued operations,13,"451,8,736,9,185"
Discontinued operations,Attributable to non-controlling interests,2,"147,780,879"
Discontinued operations,Attributable to BHP shareholders,11,"304,7,956,8,306"
Basic earnings per ordinary share (cents),7,223.5,"157.3,160.3"
Diluted earnings per ordinary share (cents),7,223.0,"157.0,159.9"
Basic earnings from Continuing operations per ordinary share (cents),7,223.5,"157.3,166.9"
Diluted earnings from Continuing operations per ordinary share (cents),7,223.0,"157.0,166.5"
