1.1,Our highlights 02
1.2,Chair's review 04
1.3,Chief Executive 05 Officer's review
1.4,Our business today 06
1.5,Positioning for the future 07
1.6,Delivering value 08
1.6.1,Our business model 08
1.6.2,How we deliver value 10
1.6.3,How our choice of 11 commodities and assets
1.7,helps deliver value Chief Financial 13 Officer's review
1.8,Financial review 14
1.8.1,Group overview 14
1.8.2,Key performance indicators 14
1.8.3,Financial results 15
1.8.4,Debt and sources of liquidity 17
1.9,How we manage risk 19
1.10,Our business 20
1.10.1,Locations 20
