Year ended 30 June 2021,US$M,Petroleum,Copper,Iron Ore,Coal,Group and unallocated items/eliminations,Group total
Revenue,"3,895","15,726","34,475","5,154","1,567","60,817",
Inter-segment revenue,51,–,–,–,(51),–,
Total revenue,"3,946","15,726","34,475","5,154","1,516","60,817",
Underlying EBITDA,"2,300","8,489","26,278",288,24,"37,379",
Depreciation and amortisation,"(1,739)","(1,608)","(1,971)",(845),(661),"(6,824)",
Impairment losses(1),(128),(72),(13),(20),(31),(264),
Underlying EBIT,433,"6,809","24,294",(577),(668),"30,291",
Exceptional items(2),(47),(144),"(1,319)","(1,567)","(1,308)","(4,385)",
Net finance costs,,,,,,,"(1,305)"
Profit before taxation,,,,,,,",24,601"
Capital expenditure (cash basis),994,"2,180","2,188",579,665,"6,606",
"(Loss)/profit from equity accounted investments, related impairments and expenses",(6),692,"(1,126)",(480),(1),(921),
Investments accounted for using the equity method,253,"1,482",–,–,7,"1,742",
Total assets,"13,775","31,517","26,171","11,030","26,434","108,927",
Total liabilities,"5,811","4,589","7,508","3,518","31,896","53,322",
