,Attributable to BHP shareholders,Attributable to BHP shareholders,Attributable to BHP shareholders,Attributable to BHP shareholders,Attributable to BHP shareholders,Attributable to BHP shareholders,Attributable to BHP shareholders,
,Share capital,BHP,Treasury shares BHP,BHP,,Total equity attributable,,
US$M,BHP LGroup,Group Plc,Group Limited,Group Plc,Reserves,Retained earnings,to BHP shareholders,Non- controlling Total interests equity
Balance as at 1July 2020 (restated),"1,111","1,057",(5),-,"2,306","43,396","47,865 4,310","52,175"
Total comprehensive income,-,一,-,-,22,"11,330","11,352 2,158","13,510"
Transactions with owners:,,,,,,,,一
Purchase of shares by ESOP Trusts Employee share awards exercised net,一,,(229),(5),一,-,(234),(234)
of employee contributions net of tax Vested employeeshare awards that have,一,,202,4,(149),(57),一,-
"lapsed,beencelledoreted Accrued employee entitlement for",,,-,,(4),4,,
unexercised awards net of tax,一,,-,-,175,/,175,175
Dividends Balance as at 30 June 2021,,-,-,-,-,"(7,894)","(7,894) (2,127)","(10,021)"
,"1,111","1,057",(32),"(1)2,350",,"46,779","51,264 4,341","55,605"
Balance as at 1 July 2019 (restated),111,1057,(32),,2.285,42.748,47.169 4.584,"51,753"
Total comprehensive income,,二,1,,（12),7.910,7.898 769,8.667
Transactions with owners: Purchase of shares by ESOP Trusts,,,(139),（4),=,=,(143),
Employee share awards exercised net,,,,,,,,(143)
of employee contributions net of tax Vested employee share awards that have,二,,166,4,(132),(38),1 =,1
"lapsed,been cancelled or forfeited",,,,,（10）,10,,
Accrued employee entitlement for unexercised awards net of tax,,,,,175,1,175 1,175
Dividends,,,1,,1,(7.234),"(7,234) (1.043)","(8,277)"
Balance as at 30 June 2020 (restated),"1,111","1,057",(5),,2.306,"43,396","47,865 4,310","52,175"
Balance as at 1 July 2018,"1,186",1.057,,,,,,
Impact of change in accounting policies (Note 39),1,1,(5) -,,2.290,"51,057","55,585 5,078","60,663"
Restated balance as at1 July 2018,"1,186",1.057,(5),,1,（71),(71) 1,(71)
Total comprehensive income,,,,,"2.290 50,986",,"55,514 5.078",60.592
Transactions with owners:,,,1,,(24),"8,306","8,282 878",9.160
Purchase of shares by ESOP Trusts,,,(182),6,1,1,（188) 1,(188)
Employee share awards exercised net of employee contributions net of tax,,,,,,,,
Vested employee share awards that have,,,155,6,(100）,(61),1,
"lapsed, been cancelled or forfeited Accrued employee entitlement for",,,,=,(18),18,1,二
unexercised awards net of tax Dividends,,,,,138,,138 =,138
BHP Group Limited shares bought back,二,,二,,1,"(11,302)","(1.302) (1,205)",(12.507)
and cancelled,(75),,,,,(5.199),"(5,274)",(5.274)
"Divestment of subsidiaries,operations and joint operations",,,,,1,,1,
Transfer to non-controlling interests,1,二,1,,(1),=,(168) (1),(168) 1
Balance as at 3O June 2O19 (restated),"1,111",1.057,(32),,"2,285",42.748,"1 47,169 4.584","51,753"
