Year ended 30 June,2021,2020
Petroleum,United States - Conventional,"Scope 1,110,80"
Petroleum,United States - Conventional,"Scope 2,0,0"
Petroleum,Australia,"Scope 1,170,250"
Petroleum,Australia,"Scope 2,0,0"
Petroleum,Australia,"Equity share GHG total,170,250"
Petroleum,Other,"Scope 1,160,90"
Petroleum,Other,"Scope 2,0,10"
Petroleum,Other,"Equity share GHG total,160,100"
Petroleum,Total petroleum,"Scope 1,440,420"
Petroleum,Total petroleum,"Scope 2,0,10"
Petroleum,Total petroleum,"Equity share GHG total,440,430"
Copper,Escondida,"Chile,Scope 1,490,490"
Copper,Escondida,"Chile,Scope 2,570,640"
Copper,Escondida,"Chile,Equity share GHG total,1,060,1,130"
Copper,Pampa Norte,"Chile,Scope 1,300,360"
Copper,Pampa Norte,"Chile,Scope 2,550,530"
Copper,Pampa Norte,"Chile,Equity share GHG total,850,890"
Copper,Olympic Dam,"Australia,Scope 1,230,230"
Copper,Olympic Dam,"Australia,Scope 2,460,450"
Copper,Olympic Dam,"Australia,Equity share GHG total,690,680"
Copper,Total copper,"Scope 1,1,020,1,080"
Copper,Total copper,"Scope 2,1,580,1,620"
Copper,Total copper,"Equity share GHG total,2,600,2,700"
Iron ore,Western Australia Iron Ore,"Australia,Scope 1,1,900,1,880"
Iron ore,Western Australia Iron Ore,"Australia,Scope 2,220,220"
Iron ore,Western Australia Iron Ore,"Australia,Equity share GHG total,2,120,2,100"
Iron ore,Total iron ore,"Scope 1,1,900,1,880"
Iron ore,Total iron ore,"Scope 2,220,220"
Iron ore,Total iron ore,"Equity share GHG total,2,120,2,100"
