Year ended 30 June,BHP interest %,2021,2020,2019
Iron ore,Western Australia Iron Ore,Production ('000 tonnes),,"63,221"
Iron ore,Western Australia Iron Ore,"Newman, Australia",85,"63,221"
Iron ore,Western Australia Iron Ore,"Area C Joint Venture, Australia",85,"52,386"
Iron ore,Western Australia Iron Ore,"Yandi Joint Venture, Australia",85,"68,596"
Iron ore,Western Australia Iron Ore,"Jimblebar, Australia",85,"67,393"
Iron ore,Western Australia Iron Ore,"Wheelarra, Australia",85,
Iron ore,Western Australia Iron Ore,Total Western Australia Iron Ore,"251,596","248,159"
Iron ore,Western Australia Iron Ore,"Samarco, Brazil",50,"1,938"
Iron ore,Western Australia Iron Ore,Total iron ore,"253,534","248,159"
Coal,Metallurgical coal,Production ('000 tonnes),,6
Coal,Metallurgical coal,"Blackwater, Australia",50,"6,224"
Coal,Metallurgical coal,"Goonyella Riverside, Australia",50,"9,448"
Coal,Metallurgical coal,"Peak Downs, Australia",50,"5,892"
Coal,Metallurgical coal,"Saraji, Australia",50,"4,489"
Coal,Metallurgical coal,"Daunia, Australia",50,"1,928"
Coal,Metallurgical coal,"Caval Ridge, Australia",50,"3,903"
Coal,Metallurgical coal,Total BHP Mitsubishi Alliance,"31,884","31,575"
Coal,Metallurgical coal,"South Walker Creek, Australia",80,"4,887"
Coal,Metallurgical coal,"Poitrel, Australia",80,"3,854"
Coal,Metallurgical coal,Total Queensland Coal,"40,625","41,118"
Coal,Energy coal,Production ('000 tonnes),,14
Coal,Energy coal,"New South Wales Energy Coal, Australia",100,"14,326"
Coal,Energy coal,"Cerrejón, Colombia",33.3,"4,964"
Coal,Energy coal,Total energy coal,"19,290","23,167"
