,Land and buildings US$M,Plant and equipment US$M,Other mineral assets US$M,Assets under construction US$M,Exploration andevaluation US$M,Total US$M
Net book value - 30 June 2021,,,,,,
Atthe beginningofthefinancial year,"8,387","39,429","8,652","13,774","2,120","72,362"
Additions(m),25,"3,841",797,"5,961",93,"10,717"
Acquisition of subsidiaries & operations(2),-,151,491,-,-,642
Remeasurements of index-linked freight contracts(3),-,(59),-,-,-,(59)
Depreciation for the year,(694),"(5,748)",(310),-,-,"(6,752)"
Impairments for the year(4),(208),(877),(687),(745),(66),"(2,583)"
Disposals,(18),(9),-,-,-,(27)
Divestment and demerger of subsidiaries and operations(5),-,(14),-,(2),-,(16)
Transfers and other movements,580,"7,968",(2),"(8,556)",(461),(471)
At the end ofthefinancial year(6),"8,072","44,682","8,941","10,432","1,686","73,813"
-Cost,"14,545","108,049","15,059","11,177","2,531","151,361"
- Accumulated depreciation and impairments,"(6,473)","(63,367)","(6,118)",(745),(845),"(77,548)"
