As at 30 June 2021,As at 30 June 2021,Measured Resources,Measured Resources,Measured Resources,Measured Resources,Measured Resources,Indicated Resources,Indicated Resources,Indicated Resources,Indicated Resources,Indicated Resources
Ggommgdey,Ore type,Mt %TCu,,%SCu_ppmMo,g/tAu,,Mt,%TCu,%SCu_ppmMo,,g/tAu
Copper operations,Copper operations,Copper operations,Copper operations,Copper operations,Copper operations,Copper operations,Copper operations,Copper operations,Copper operations,,
Escondida(2),Oxide,99,0.60,,,二,39,0.58,,,
,Mixed,72,0.52,1,二,,57,0.47,1,,1
,Sulphide,"5,270",0.61,1,=,=,3.690,0.51,1,1,1
Cerro Colorado(3),Oxide,71,0.61,0.43,,,110,0.64,0.45,1,二
,Supergene Sulphide,48,0.60,0.11,1,二,87,0.61,0.12,1,1
,Transitional Sulphide,81,0.45,-,1,1,105,0.42,1,1,1
,Hypogene Sulphide,-,-,1,1,=,1,1,1,1,1
Spence(4),Oxide,27,0.66,0.40,1,,1.6,0.66,0.43,1,1
,Low-grade Oxide,0.6,0.26,0.12,1,,0.1,0.26,0.14,1,1
,Supergene Sulphide,103,0.59,0.10,1,=,8.1,0.41,0.09,1,1
,Transitional Sulphide,20,0.64,-,100,1,0.5,0.49,-,60,1
,Hypogene Sulphide,636,0.46,1,180,=,773,0.45,,130,1
Copper projects,Copper projects,Copper projects,Copper projects,Copper projects,Copper projects,Copper projects,Copper projects,Copper projects,Copper projects,,
Pampa Escondida,Sulphide,294,0.53,,,0.07,1.150,0.55,,,0.10
Pinta Verde,Oxide,109,0.60,,,、,64,0.53,,1,1
,Sulphide,二,,,,,23,0.50,,,1
Chimborazo Sulphide,Chimborazo Sulphide,Chimborazo Sulphide,Chimborazo Sulphide,Chimborazo Sulphide,Chimborazo Sulphide,Chimborazo Sulphide,Chimborazo Sulphide,Chimborazo Sulphide,Chimborazo Sulphide,,
Copper uranium gold operation,,Mt,%Cu,kg/tU2O8,g/tAu,g/tAg,139 Mt,0.50 %Cu,kg/tU2O8,g/tAu,g/tAg
Olympic Dam,OCSulphide,"3,600",0.66,0.21,0.34,1,"3,330",0.60,0.20,0.25,1
,UG Sulphide,510,1.73,0.50,0.68,4,480,1.62,0.48,0.59,3
Copper zinc operation,,Mt,%Cu,%Zn,g/tAg,ppmMo,Mt,%Cu,%Zn,g/tAg,ppmMo
Antamina(5),Sulphide Cu only,219,0.83,0.12,7,270,413,0.85,0.13,9,240
,Sulphide Cu-Zn,92,0.81,1.79,16,70,222,0.95,1.80,17,70
,UG Suphide Cu only,-,-,1,1,-,-,-,1,-,-
,UG Sulphide Cu-Zn,1,1,1,1,,1,1,、,1,1
