6. Our application of materiality continued Performance Materiality,6. Our application of materiality continued Performance Materiality,6. Our application of materiality continued Performance Materiality,6. Our application of materiality continued Performance Materiality,6. Our application of materiality continued Performance Materiality,6. Our application of materiality continued Performance Materiality,
What we mean,"Theappicationofmaterialityattheindividualaccountorbalancelevel.Itissetatanamounttoreducetoanappropriately low leveltheprobability thattheaggregateof uncorrectedand undetected misstatements exceeds materility. Onthe basis ofourisk assessments,togetherwithourassessment of the Group's overallcontrol environment,our","Theappicationofmaterialityattheindividualaccountorbalancelevel.Itissetatanamounttoreducetoanappropriately low leveltheprobability thattheaggregateof uncorrectedand undetected misstatements exceeds materility. Onthe basis ofourisk assessments,togetherwithourassessment of the Group's overallcontrol environment,our","Theappicationofmaterialityattheindividualaccountorbalancelevel.Itissetatanamounttoreducetoanappropriately low leveltheprobability thattheaggregateof uncorrectedand undetected misstatements exceeds materility. Onthe basis ofourisk assessments,togetherwithourassessment of the Group's overallcontrol environment,our","Theappicationofmaterialityattheindividualaccountorbalancelevel.Itissetatanamounttoreducetoanappropriately low leveltheprobability thattheaggregateof uncorrectedand undetected misstatements exceeds materility. Onthe basis ofourisk assessments,togetherwithourassessment of the Group's overallcontrol environment,our","Theappicationofmaterialityattheindividualaccountorbalancelevel.Itissetatanamounttoreducetoanappropriately low leveltheprobability thattheaggregateof uncorrectedand undetected misstatements exceeds materility. Onthe basis ofourisk assessments,togetherwithourassessment of the Group's overallcontrol environment,our",
Determination of Performance Materiality Allocation of,"judgement wasthatperformance materialitywas 75%(2O2O:75%)ofourplanning materiality,namely US$675 milion (2020:US$525millon).Inassessing theappropriatelevel,weconsiderthenature,thenumberandimpactoftheaudit differences identified in the previous year's audit. Thelevelof materialitythat weappliedinundertaking ouraudit workateach location was determined byapplying a","judgement wasthatperformance materialitywas 75%(2O2O:75%)ofourplanning materiality,namely US$675 milion (2020:US$525millon).Inassessing theappropriatelevel,weconsiderthenature,thenumberandimpactoftheaudit differences identified in the previous year's audit. Thelevelof materialitythat weappliedinundertaking ouraudit workateach location was determined byapplying a","judgement wasthatperformance materialitywas 75%(2O2O:75%)ofourplanning materiality,namely US$675 milion (2020:US$525millon).Inassessing theappropriatelevel,weconsiderthenature,thenumberandimpactoftheaudit differences identified in the previous year's audit. Thelevelof materialitythat weappliedinundertaking ouraudit workateach location was determined byapplying a","judgement wasthatperformance materialitywas 75%(2O2O:75%)ofourplanning materiality,namely US$675 milion (2020:US$525millon).Inassessing theappropriatelevel,weconsiderthenature,thenumberandimpactoftheaudit differences identified in the previous year's audit. Thelevelof materialitythat weappliedinundertaking ouraudit workateach location was determined byapplying a","judgement wasthatperformance materialitywas 75%(2O2O:75%)ofourplanning materiality,namely US$675 milion (2020:US$525millon).Inassessing theappropriatelevel,weconsiderthenature,thenumberandimpactoftheaudit differences identified in the previous year's audit. Thelevelof materialitythat weappliedinundertaking ouraudit workateach location was determined byapplying a",
Performance Materiality to in- scope locations,"percentageof ourtotalperformancemateriality.Thispercentage isbasedon the significanceofthe locationrelative to BHPasawholeandourassessmentoftheriskofmaterialmisstatementat thatlocation.Thelocationsselected,together with the ranges of materialityapplied, were:","percentageof ourtotalperformancemateriality.Thispercentage isbasedon the significanceofthe locationrelative to BHPasawholeandourassessmentoftheriskofmaterialmisstatementat thatlocation.Thelocationsselected,together with the ranges of materialityapplied, were:","percentageof ourtotalperformancemateriality.Thispercentage isbasedon the significanceofthe locationrelative to BHPasawholeandourassessmentoftheriskofmaterialmisstatementat thatlocation.Thelocationsselected,together with the ranges of materialityapplied, were:","percentageof ourtotalperformancemateriality.Thispercentage isbasedon the significanceofthe locationrelative to BHPasawholeandourassessmentoftheriskofmaterialmisstatementat thatlocation.Thelocationsselected,together with the ranges of materialityapplied, were:","percentageof ourtotalperformancemateriality.Thispercentage isbasedon the significanceofthe locationrelative to BHPasawholeandourassessmentoftheriskofmaterialmisstatementat thatlocation.Thelocationsselected,together with the ranges of materialityapplied, were:",
,Location WAIO,Commodity/Function Iron Ore,Country Australia,Scope Full,Performance materiality (US$M) 540,
,Escondida BMA,Copper Coal,Chile Australia,Full Full,257,
,Group Functions,Treasury,Australia,Full,169 506,
,Marketing (Freight),Marketing,Singapore,Specific,506,
,Samarco,Iron Ore,Brazil,Specific,338,
,Olympic Dam,Copper,Australia,Specific,169,
,Australian JIU,Petroleum,Australia,Specific,169,
,Gulf of Mexico,Petroleum,United States,Specific,169,
Reporting Threshold What we mean,An amount below which identified misstatements are considered as being clearly trivial.,An amount below which identified misstatements are considered as being clearly trivial.,An amount below which identified misstatements are considered as being clearly trivial.,An amount below which identified misstatements are considered as being clearly trivial.,An amount below which identified misstatements are considered as being clearly trivial.,
Levelset,"Weagreed with theRiskandAudit Committeethat we wouldreportothemalluncorrectedaudit diferences inexcessof US$45 millon(O2O:US$5millon),wichissetat5%ofplanningmaterilityswellasdiffrencesblowthatthesold that, in our view, warranted reporting on qualitative grounds. Weevaluateany uncorrected misstatements againstboth thequantitative measures of materialitydiscussed above and","Weagreed with theRiskandAudit Committeethat we wouldreportothemalluncorrectedaudit diferences inexcessof US$45 millon(O2O:US$5millon),wichissetat5%ofplanningmaterilityswellasdiffrencesblowthatthesold that, in our view, warranted reporting on qualitative grounds. Weevaluateany uncorrected misstatements againstboth thequantitative measures of materialitydiscussed above and","Weagreed with theRiskandAudit Committeethat we wouldreportothemalluncorrectedaudit diferences inexcessof US$45 millon(O2O:US$5millon),wichissetat5%ofplanningmaterilityswellasdiffrencesblowthatthesold that, in our view, warranted reporting on qualitative grounds. Weevaluateany uncorrected misstatements againstboth thequantitative measures of materialitydiscussed above and","Weagreed with theRiskandAudit Committeethat we wouldreportothemalluncorrectedaudit diferences inexcessof US$45 millon(O2O:US$5millon),wichissetat5%ofplanningmaterilityswellasdiffrencesblowthatthesold that, in our view, warranted reporting on qualitative grounds. Weevaluateany uncorrected misstatements againstboth thequantitative measures of materialitydiscussed above and","Weagreed with theRiskandAudit Committeethat we wouldreportothemalluncorrectedaudit diferences inexcessof US$45 millon(O2O:US$5millon),wichissetat5%ofplanningmaterilityswellasdiffrencesblowthatthesold that, in our view, warranted reporting on qualitative grounds. Weevaluateany uncorrected misstatements againstboth thequantitative measures of materialitydiscussed above and",
in light of other relevant qualitative considerations in forming our opinion. 7. Other information TheotheriformatiocomprisesteforatioicuddinteAnalReporttutinectisandeingttrateieportoc,in light of other relevant qualitative considerations in forming our opinion. 7. Other information TheotheriformatiocomprisesteforatioicuddinteAnalReporttutinectisandeingttrateieportoc,in light of other relevant qualitative considerations in forming our opinion. 7. Other information TheotheriformatiocomprisesteforatioicuddinteAnalReporttutinectisandeingttrateieportoc,in light of other relevant qualitative considerations in forming our opinion. 7. Other information TheotheriformatiocomprisesteforatioicuddinteAnalReporttutinectisandeingttrateieportoc,in light of other relevant qualitative considerations in forming our opinion. 7. Other information TheotheriformatiocomprisesteforatioicuddinteAnalReporttutinectisandeingttrateieportoc,in light of other relevant qualitative considerations in forming our opinion. 7. Other information TheotheriformatiocomprisesteforatioicuddinteAnalReporttutinectisandeingttrateieportoc,
"atBHP,Reeatiprtteeprtatdretiaemd auditors'reportthereon.Thedirectorsareresponsiblefor theother informationcontained within the Annual Report.","atBHP,Reeatiprtteeprtatdretiaemd auditors'reportthereon.Thedirectorsareresponsiblefor theother informationcontained within the Annual Report.","atBHP,Reeatiprtteeprtatdretiaemd auditors'reportthereon.Thedirectorsareresponsiblefor theother informationcontained within the Annual Report.","atBHP,Reeatiprtteeprtatdretiaemd auditors'reportthereon.Thedirectorsareresponsiblefor theother informationcontained within the Annual Report.","atBHP,Reeatiprtteeprtatdretiaemd auditors'reportthereon.Thedirectorsareresponsiblefor theother informationcontained within the Annual Report.","atBHP,Reeatiprtteeprtatdretiaemd auditors'reportthereon.Thedirectorsareresponsiblefor theother informationcontained within the Annual Report.",
Ouropinionshalatemetstortfatidcetextetiseeplitled we do not express any form of assurance conclusion thereon.,Ouropinionshalatemetstortfatidcetextetiseeplitled we do not express any form of assurance conclusion thereon.,Ouropinionshalatemetstortfatidcetextetiseeplitled we do not express any form of assurance conclusion thereon.,Ouropinionshalatemetstortfatidcetextetiseeplitled we do not express any form of assurance conclusion thereon.,Ouropinionshalatemetstortfatidcetextetiseeplitled we do not express any form of assurance conclusion thereon.,Ouropinionshalatemetstortfatidcetextetiseeplitled we do not express any form of assurance conclusion thereon.,
Ourresposibiadttfmtiodigsosidtrtfmatiosateralcossti,Ourresposibiadttfmtiodigsosidtrtfmatiosateralcossti,Ourresposibiadttfmtiodigsosidtrtfmatiosateralcossti,Ourresposibiadttfmtiodigsosidtrtfmatiosateralcossti,Ourresposibiadttfmtiodigsosidtrtfmatiosateralcossti,,
