Fairvalueofderivatives,Fairvalueofderivatives,Fairvalueofderivatives,Fairvalueofderivatives,Fairvalueofderivatives,Fairvalueofderivatives,Fairvalueofderivatives,Fairvalueofderivatives,Fairvalueofderivatives,Fairvalueofderivatives
Recognised,Carrying Foreign,Carrying Foreign,Carrying Foreign,Recognised in cash flow,Recognised in cash flow,Recognised in cash flow,,,
2020,amountof notesand,exchange notionalat,Interest,hedging,in cost of hedging,Recognised in theincome,Accrued,,Hedged value of notes and
US$M,debentures,spot rates,rate risk,reserve,reserve,statement0,cash flows,Total,debentures(2)
,A,B,C,D,E,F,G,BtoG,A+B+C
USD,9.926,1,(742),-,1,29,74,(639),9.184
GBP,3.245,764,(730),(16),13,（18),47,60,3.279
EUR,7.294,500,(576),(55),21,65,32,(13),"7,218"
CAD,580,199,(32),-,(2),（4),(2),159,747
Total,"21,045","1,463",(2.080),(71),32,72,151,(433),"20,428"
