Alternative Performance Measures (APMs),Reasons why we believe the APMs are useful,Calculation methodology
Underlying attributable profit,Allows the comparability of underlying financial performance by excluding the impacts of exceptional items and is also the basis on which our dividend payout ratio policy is applied.,Profit after taxation attributable to BHP shareholders excluding any exceptional items attributable to BHP shareholders.
Underlying basic earnings per share,"Ona per share basis,allows the comparability of underlying financial performance by excluding the impacts of exceptional items.",Underlying attributable profit divided by the weighted basic average number of shares.
Underlying EBITDA,Used to help assess current operational profitability excluding the impacts of sunk Costs (i.e. depreciation from initial investment). Each is a measure that management uses internally to assess the performance of the Group's segments and make decisions on the allocation of resources.,"Earnings before net finance costs,depreciation, amortisation and impairments, taxation expense, discontinued operations and exceptional items. Underlying EBITDA includes BHP's share of profit/ (loss) from investments accounted for using the equity method including net finance costs, depreciation,amortisation and impairments and"
Underlying EBITDA margin,,"taxation expense/(benefit). Underlying EBITDA excluding third-party product EBITDA,divided by revenue excluding third-party product revenue."
Underlying EBIT,Used to help assess current operational profitability excluding net finance costs and taxation expense (each of which are managed at the Group level) as wellas discontinued operations and any exceptional items.,"Earnings before net finance costs,taxation expense,discontinued operations and any exceptional items. Underlying EBIT includes BHP's share of profit/(loss) from investments accounted for using the equity method including net finance costs and taxation expense/(benefit)."
Profit from operations,,"Earnings before net finance costs,taxation expense and discontinued operations.Profit from operations includes Revenue, Other income, Expenses excluding net finance costs and BHP's share of profit/(loss) from investments accounted for using the equity method including net finance costs and taxation expense/(benefit)."
Capital and exploration expenditure,"Used as part of our Capital Allocation Framework Purchases of property,plant and equipment to assess efficient deployment of capital. Represents the total outflows of our operational investing expenditure.",and exploration expenditure.
Free cash flow,"It is a key measure used as part of our Capital Allocation Framework. Reflects our operational cash performance inclusive of investment expenditure,which helps to highlight how much cash was generated in the period to be available for the servicing of debt and distribution to shareholders.",Net operating cash flows less net investing cash flows.
Net debt,"Net debt shows the position of gross debt less index-linked freight contracts offset by cash immediatelyavailable to pay debt if required and any associated derivative financial instruments. Liabilityassociated with index-linked freight contracts,which are required to be remeasured",Interest bearing liabilities less liability associated with index-linked freight contracts less cash and cash equivalents less net cross currency and interest rate swaps less net cash management related instruments for the Group at the
Gearing ratio,"to the prevailing freight indexat each reporting date,are excluded from the net debt calculation due to the short-term volatility of the index they relate to not aligning with how the Group uses net debt for decision making in relation to the Capital Allocation Framework.Net debt includes the fair value of derivative financial instruments used to hedge cash and borrowings to reflect the Group's risk management strategy of reducing the volatility of net debt caused",reporting date. Ratio of Net debt to Net debt plus Net assets.
Gearing ratio,"by fluctuations in foreign exchange and interest rates. Net debt,along with the gearing ratio, is used to monitor the Group's capital management by relating net debt relative to equity from shareholders.",
Net operating assets,Enables a clearer view of the assets deployed to generate earnings by highlighting the net operating assets of the business separate from the financing and tax balances.This measure helps provide an indicator of the underlying performance of our assets and enhances comparability between them.,"Operating assets net of operating liabilities, including the carrying value of equity accounted investments and predominantly excludes cash balances, loans to associates, interest bearing liabilities,derivatives hedging our net debt,assets held for sale, liabilities directly associated with assets held for sale and tax balances."
Underlying return on capital employed (ROCE),Indicator of the Group's capital efficiency and is provided on an underlying basis to allow comparability of underlying financial performance by excluding the impacts of exceptional items.,"Profit after taxation excluding exceptionalitems and net finance costs (after taxation) divided by average capital employed. Profit after taxation excluding exceptional items and net finance costs (after taxation) is profit after taxation from Continuing and Discontinued operations excluding exceptional items, net finance costs and the estimated taxation impact of net finance costs.These are annualised for a half year end reporting period. The estimated tax impact is calculated using a prima facie taxation rate on net finance costs (excluding any foreign exchange impact)."
Adjusted effective tax rate Provides an underlying tax basis to allow comparability of underlying financial performance by excluding the impacts of exceptional items.,Adjusted effective tax rate Provides an underlying tax basis to allow comparability of underlying financial performance by excluding the impacts of exceptional items.,Average capital employed is calculated as the average of net assets less net debt for the last two reporting periods. Total taxation expense/(benefit) excluding exceptional items and exchange rate movements included in taxation expense/(benefit) divided by
