Year ended 30 June 2021,US$M,Revenue,Underlying EBITDA,D&A,Underlying EBIT,Net operating assets,Capital expenditure,Exploration gross,Exploration to profit
Escondida(1),9,470,6,483,969,5,514,11,"926,666,"
Pampa Norte(2),1,801,954,390,564,4,510,678,
Antamina(3),1,627,1,158,142,1,016,1,"362,237,"
Olympic Dam,2,211,598,313,285,9,045,830,
Other(3)(4),-,-(230),10,-(240),85,7,,,
Total Copper from Group production,15,109,8,963,1,824,7,139,"26,928,2,418,62,58"
Third-party products,2,244,64,--,64,--,--,58,
Total Copper,17,353,9,027,1,824,7,203,"26,928,2,418,62,58"
Adjustment for equity accounted investments(5),-(1,627),-(538),-(144),-(394),--,-(238),-(9),"-(5),"
Total Copper statutory result,15,726,8,489,1,680,6,809,"26,928,2,180,53,53"
