,BHP Group Limited shares,BHP Group Limited shares,BHP Group Limited shares,BHP Group Limited shares,BHP Group Plc shares,BHP Group Plc shares,BHP Group Plc shares,BHP Group Plc shares
,Held at 1July,Receivedas,,Held at 30 June 2021,Held at 1 July,Received as,,Held at 30 June
,2020 Purchased,,remuneration(1),Sold,2020 Purchased,,remuneration(1),Sold 2021
Executive Director,,,,,,,,
Mike Henry,"120,069",,146.072,"67,162 198,979","196,262",,,"196,262"
Other Executive KMP,,,,,,,,
Edgar Basto(2),"117,279",42,"33,828 16,260","134,889",,,,
Peter Beaven(3),"261,287",1,"136,244 65,424","332,107",,,,
David Lamont(2),"6,345",,,"6,345",,,,
Daniel Malchuk(3),"194,608",,"139,312","56,934 276,986 8.544",,,,
Geraldine Slattery(4),"71,520",,"34,349","97,325",,,,
Ragnar Udd(2),"105,418",,,"105,418",,,,
Non-executive Directors,,,,,,,,
Terry Bowen,"11,000",,,"11,000 19,000",,,,
Malcolm Broomhead,"19,000",1,,"7,000",1,,,
Xiaoqun Clever(5),5.000,"2,000",,"8,759","3,500",,,
lan Cockerill Anita Frew,"8,759",,,,"15,000",,,"3,500"
Gary Goldberg(4),"10,000",,,"10,000",,,,"15,000"
Susan Kilsby,1,,,,"1 6.,900",,,"6,900"
Ken MacKenzie,"52,351",,,"52,351",1,,,1
Lindsay Maxsted(6),18.000,,一,"18,000",1,1,,1 1
John Mogford,1,,,,1 12.000,"1,938",,"13,938"
Christine O'Reilly(5),7000,,,,7.000,,,
Shriti Vadera(6),1,,,,"1 25,000",,,"25,000"
,"1,544",,,,"1,544 1",1,,1
Dion Weisler,,,,,,,,
