Land and buildings,Plant and equipment,Other mineral assets,Assets under construction,Exploration and evaluation,Total
At the beginning of the financial year,"8,387","39,429","8,652","13,774","2,120"
Additions(1),25,"3,841",797,"5,961",93
Acquisition of subsidiaries & operations(2),,151,491,,-
Remeasurements of index-linked freight contracts(3),,(59),,,-
Depreciation for the year,(694),"(5,748)",(310),,
Impairments for the year(4),208,877,687,745,66
Disposals,18,9,,,-
Divestment and demerger of subsidiaries and operations(5),,(14),,(2),-
Transfers and other movements,580,"7,968",(2),"(8,556)",(461)
At the end of the financial year(6),"8,072","44,682","8,941","10,432","1,686"
-Cost,"14,545","108,049","15,059","11,177","2,531"
- Accumulated depreciation and impairments,"(6,473)","(63,367)","(6,118)",745,(845)
