This table describes how BHP has applied the Principles of the UK Code,This table describes how BHP has applied the Principles of the UK Code,More information in section
Board leadership and our purpose,Long-term sustainable success - we believe we put the long-term sustainable success of BHP at the centre of what we do.,1.6 and 1.14
Board leadership and our purpose,"Purpose,values,strategy and culture- we renewed our purpose in FY2O19 to better capture the aspirations of all our stakeholders.","1.6, 1.14, 1.13, 2.1.5 and 2.1.7"
Board leadership and our purpose,Performance measurement and control framework.,1.13.3 and 4.8
Board leadership and our purpose,Responsibilities to shareholders and stakeholders.,"1.14, 1.12 and 2.1.6"
Board leadership and our purpose,Workforce policies and practices.,"1.6.2, 1.14, 1.12 and 2.1.6"
"Composition, succession and evaluation","Appointments and succession planning - we have a rigorous process in place for Board appointments and to consider successon having regard to diversity of gender, social and ethnic",2.1.9
"Composition, succession and evaluation","backgrounds and personal strengths. Skills matrix-we have an appropriate mix of skils,experience and knowledge on the Board and in 2018 revised our skils matrix (section 2.1.7). Section 2.1.9 provides information on tenure and",2.1.7 and 2.1.9
"Composition, succession and evaluation","Board renewal. Director review-reviews are undertaken on the contribution of each Director to the work of the Board and its Committees, the expectations of Directors as specified in BHP's governance",2.1.8
"Composition, succession and evaluation",framework and the performance of Directors.The review confirmed that each Director continues to contribute effectively. Chair of the Board -the Chair leads the Boardand is responsible forits effectivenessand the effective,
responsibilities,contribution from all Non-executive Directors. Board composition -the Board operates efectively with the appropriate balance of executives and,2.1.3 2.1.3
responsibilities,non-executives and believes the roles of the Chair and the CEO should be separated. Non-executive Directors have suficient time to meet their responsibilities - when we appoint new,2.1.2 and 2.1.7
responsibilities,"Directors we ensure they have suffcient time to undertake their responsibilities and are able to offer challenge, strategic guidance and specialist advice. Time and resources-the Board ensures it has the necessary time,resources,policies and processes",
responsibilities,in place as part of its evaluation process. Internal and external auditindependence - we understand the importance of ensuring these lines,2.1.3 and 2.1.8
Audit Risk and Internal Control,of defence remain independent.,2.1.10
Audit Risk and Internal Control,Fair balanced and understandable-the Board presents a fair balanced and understandable assessment of BHP's position and prospects. Management and oversight of risk -our risk and control environment is monitored and overseen by,2.1.10
Audit Risk and Internal Control,"the Risk and Audit Commitee.The Board, Risk and Audit Committee,and Sustainability Committee considered emerging and principal risk during the year.","1.9, 2.1.5, 2.1.10 and 2.1.11"
Remuneration,"Policies and practices -remuneration is designed to support our strategy and long-term sustainable success. Formaland transparent procedure -we have formal and transparent procedures in place,",2.2
Remuneration,and routinely engage with investors for their feedback.,'Shareholder engagement' in 2.1.6
,Use of discretion -we have used discretion to adjust the formulaic remuneration outcomes.,2.2
