Chair's matters,Chair's matters
"Board composition,succession planning, performance and culture",- CEO and ELT succession
"Board composition,succession planning, performance and culture",- Committee succession Board composition and succession
"Board composition,succession planning, performance and culture",Board evaluation
"Board composition,succession planning, performance and culture",- Director training and development Corporate governance updates
Strategic matters,Employee indemnification policy Dividend policy and dividend recommendations
"Capital allocation (Capital Allocation Framework,capital","Capital allocation (Capital Allocation Framework,capital"
prioritisation and development outcomes),- Capital prioritisation and portfolio development options
prioritisation and development outcomes),- Capital execution watch list
prioritisation and development outcomes),Capital allocation for pathways to net zero and other social value projects Finance and business performance reports
"Funding (annual budgets, balance sheet management, liquidity management) Portfolio and strategy (Group scenarios,commodity and",- Two-year budget
"Funding (annual budgets, balance sheet management, liquidity management) Portfolio and strategy (Group scenarios,commodity and",
"Funding (annual budgets, balance sheet management, liquidity management) Portfolio and strategy (Group scenarios,commodity and",Funding updates
"Funding (annual budgets, balance sheet management, liquidity management) Portfolio and strategy (Group scenarios,commodity and",-Growth projects and transactions
"Funding (annual budgets, balance sheet management, liquidity management) Portfolio and strategy (Group scenarios,commodity and",Commodity strategies Dual Listed Company structure
"Funding (annual budgets, balance sheet management, liquidity management) Portfolio and strategy (Group scenarios,commodity and",Strategic roadmap Risk Appetite Statement
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)",
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)",Climate change -approval of commitments and updates on progress against commitments - Climate change - externallandscape and risk exposure
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)",
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)",Equity alternatives
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)",New world trends post COvID-19 pandemic
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)","COVID-19 updates, including safety measures, welbeing steps, workforce planning and community support"
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)","Samarco strategy,funding and communications Strategic options for Petroleum"
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)",Acquisition of additional interest in Shenzi
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)",Jansen Potash Project Trion project and Mexico country risk update
"commitments, capital and non-capital items and acquisitions and divestments above a specified threshold,and geopolitical and macro-environmental impacts)",：Commodity price protocols China strategy
"People, culture, social value and other",Chile country update Economic and geopolitical landscape
"People, culture, social value and other",Nickel West power purchase agreement
"People, culture, social value and other",Innovation and technology update
"People, culture, social value and other",Minerals exploration briefing
"People, culture, social value and other","Culture and capability, including capability deep dives"
"People, culture, social value and other","Culturedashboard and Engagementand Perception Survey (EPS)results,"
"People, culture, social value and other",including actions that willbetakenbasedon thefindings Inclusion and diversity update
,Sexual assault and sexual harassment
,- Payrollreview
,"- Cultural heritage review, including in relationto Project Resolution"
,Shareholder requisitioned resolutions
,"Investor relations reports,including investor perception survey results"
,"CEO reports,including updates on safetyand sustainability,financial and operational"
,"performance, external affairs, markets,peopleand projects"
"documents, statute or by other external regulation",
"documents, statute or by other external regulation",Risk review session
"documents, statute or by other external regulation",
"documents, statute or by other external regulation",Non-financial risk management
"documents, statute or by other external regulation",Tailings Storage Faclity olicy Approval of the CEO's remuneration
"documents, statute or by other external regulation",
"documents, statute or by other external regulation",Review and approval of half-year and full-year financial results
"documents, statute or by other external regulation",Review and approval of the Annual Reporting suite and Climate Change Report
"documents, statute or by other external regulation","Physical and virtual site visits,and site visit reports"
