Year ended 30 June 2020 US$M,Revenue,Underlying EBITDA,D&A,,Net operating assets,Capital expenditure,Exploration gross,Exploration toprofit
Queensland Coal,5.357,1.935,684,1.251,8.168,523,,
New South Wales Energy Coal),972,（19),152,(171),841,73,,
Colombia1,364,69,112,(43）,776,24,,
Other(2),1,(155),11,(166),(276),8,,
Total Coalfrom Group production,"6,693",1.830,959,871,"9,509",628,,
Third-party products,、,1,1,1,1,1,,
Total Coal,"6,693","1,830",959,871,9.509,628,22,9
Adjustment for equity,,,,,,,,
accounted investments(34) Total Coal statutory result,"(451) 6,242",（198) 1.632,(138) 821,(60) 811,二 9.509,(25) 603,1 22,1 9
