2021,US$M,Employee benefits,Restructuring,Post-retirement employee benefits (3),Total
At the beginning of the financial year,1,313,34,547,"1,894"
Charge/(credit) for the year:,Underlying,1,402,45,"62,1,509"
Discounting,,-,31,31,
Net interest expense,,-,-,(10),(10)
Exchange variations,104,1,30,135,
Released during the year,82,,-,(128),
Remeasurement gains taken to retained earnings,,-,(58),(58),
Utilisation,1,119,26,59,"1,204"
Transfers and other movements,6,,-,43,
At the end of the financial year,1,624,54,534,"2,212"
