United States of America,,,Philippines,,
"Suite B,1675SouthStateStreet,Dover,DE,19901,United Statesof America",,,"Arthaland CenturyPacificTower,27thFloor-5thAve.cor.30thStreetand 4th Ave. cor.3Oth Street, Bonifacio Global City, Taguig, Philippines",,
141Union Company,,,BHP Shared Services Philippines Inc. (99.99%),,
BHP Billiton Boliviana de Petroleo Inc.,,,,,
BHP Bllton Marketing Inc.,,,"PearlbankCentre2OthFlor-146ValeroStreetSalcedoVillageMakati City27,",,
BHP Blliton Petroleum (Americas) Inc.,,,"PearlbankCentre2OthFlor-146ValeroStreetSalcedoVillageMakati City27,",,
BHP Billiton Petroleum(Deepwater) Inc.,,,BHP Biliton (Philppines) Inc.(99.99%),,
BHP Blton Petroleum(GOM) Inc.,,,QNI Philippines Inc. (99.99%),,
BHPBilltonPetroleum Holdings (USA)Inc.((),,,Joint operations (c),,
BHP Biliton Petroleum Holdings LLC,,,Joint operations (c),,
BHP Capital Inc.,,,Country of incorporationAlgeria,,
BHP Chile Inc.,,,Country of incorporationAlgeria,,
BHPCopper Inc.,,,,,
BHPCopper Inc.,,,"Registeredoffice address125StGeorgeserrace,Perthutrala",,
BHP Escondida Inc.,,,Company Name,,
BHP Finance (International) Inc.,,,ROD Integrated Development (29.50%)(p),,
BHP Foreign Holdings Inc.,,,,,
BHP Holdings(International) Inc.,,,Australia,,
BHP Holdings (Resources)Inc.,,,"125 St Georges Terrace, Perth,WA 6ooo,Australia",,
BHP Holdings(USA) Inc.(m)0),,,Bass Strait (50%) (p),,
BHP HoldingsInteratioal(Investments)Inc.,,,Macedon (71.43%) p),,
BHP InternationalFinanceCorp,,,Minerva (90%) (),,
BHP Mineral Resources Inc,,,Mt Goldsworthy (85%) (p),,
BHP Minerals Exploration Inc.,,,Mt Newman (85%)(p),,
BHP Minerals International Exploration Inc.,,,NorthWestShelf(12.516.67%)@),,
BHP Minerals International LLC,,,Posmac (65%)(p),,
BHP Minerals Service Company,,,Pyrenees (40-71.43%)(),,
BHP New Mexico Coal Inc.,,,Yandi(85%)(),,
BHP Peru Holdings Inc.,,,,,
BHP Petroleum (Arkansas Holdings) LLC,,,,,
BHP Petroleum(Foreign Exploration Holdings) LC,,,BMAlliance Coal Marketing PtyLimited (50%),,
BHP Petroleum(Mexico Holdings) LLC,,,BMAlliance Coal Operations Pty Limited (50%),,
BHP Petroleum (North America) LLC,,,Central Queensland Coal Associates (50%)(),,
BHP Resolution Holdings LLC,,,Gregory (50%)(p),,
BHP Resources Inc.,,,South Blackwater Coal Pty Limited (50%),,
Broken Hill Proprietary (USA) Inc.,,,,,
Hamilton Brothers Petroleum Corporation,,,"Level16,AluvionBulding,58MountsBayRod,erthWA 6000, Australia",,
Hamilton Oil Company Inc.,,,"Level16,AluvionBulding,58MountsBayRod,erthWA 6000, Australia",,
Rio Algom Mining LLC,,,North West Shelf Gas Pty Limited (16.67%),,
WMC (Argentina) Inc.,,,North West Shelf Liaison Company Pty Ltd (16.67%)(h),,
WMC Corporate Services Inc.,,,North WestShelf Lifting Coordinator PtyLtd(16.67%)(@),,
Subsidiaries where effective interest is lessthan 10o per cent (b),,,North West Shelf Shipping Service Company Pty Ltd (16.67%),,
Subsidiaries where effective interest is lessthan 10o per cent (b),,,,,
Country of incorporationAustralia,,,Canada,,
Country of incorporationAustralia,,,,,"Suite 1500,1874 Scarth Street, Regina, SK,S4P 4E9, Canada"
Registeredoffice address125StGeorgseceerthtr,,,,,
Registeredoffice address125StGeorgseceerthtr,,,,,BHP SaskPowerCarbon Captureand Storage(CCS)Knowledge Centre Inc.(50%) (k)
Company Name,,,,,
Company Name,,,,,
BHPIronOre (Jimblebar)PtyLtd(85%)(o)()(q),,,Japan,,
,,,"1-8-3 Marunouchi,Chiyoda-ku,Tokyo,Japan",,
"Level14, 480 Queen Street, Brisbane, QLD 4000, Australia",,,BMA Japan KK (50%),,
BHP Mitsui Coal Pty Ltd (80%)0,,,,,
Red Mountain Infrastructure Pty Ltd(80%),,,Liberia,,
,,,"80 Broad Street,MonroviaLiberia",,
Brazil,,,Blue Ocean Bulk Shipping Limited (50%),,
"Rua Paraiba22,5°adarBelorzte,G391il",,,,,
Consorcio Santos Luz de Imoveis Ltda (90%),,,Mexico,,
,,,"Av.EjercitoNacional#769,orreB,iso3,ColoniaGradaDelegacionMiguel Hdalgo,Ciudaddeexico,11520,eico",,
Chile,,,"Av.EjercitoNacional#769,orreB,iso3,ColoniaGradaDelegacionMiguel Hdalgo,Ciudaddeexico,11520,eico",,
"CerroEl Plomo6o00,Piso15,LasCondes,Santiagohile",,,Trion (60%) (p),,
Kelti S.A. (57.5%)Minera Escondida Ltda (57.5%),Kelti S.A. (57.5%)Minera Escondida Ltda (57.5%),Kelti S.A. (57.5%)Minera Escondida Ltda (57.5%),Kelti S.A. (57.5%)Minera Escondida Ltda (57.5%),,
