Significant joint operations,Country of operation,Principal activity,Group's interest 2011 %,Group's interest 2010 %
Atlantis,US,Hydrocarbons production,44,44
Bass Strait,Australia,Hydrocarbons production,50,50
Macedon (1),Australia,Hydrocarbons production,71.43,71.43
Mad Dog,US,Hydrocarbons production,23.9,23.9
North West Shelf,Australia,Hydrocarbons production,12.5-16.67,12.5-16.67
Pyrenees (1),Australia,Hydrocarbons production,40-71.43,40-71.43
ROD Integrated Development (2),Algeria,Hydrocarbons production,28.85,29.50
Shenzi (3),US,Hydrocarbons production,72,44
Trinidad/Tobago (1)(4),Trinidad and Tobago,Hydrocarbons production,45-68.46,45-68.46
Mt Goldsworthy (5),Australia,Iron ore mining,85,85
Mt Newman (5),Australia,Iron ore mining,85,85
Yandi (5),Australia,Iron ore mining,85,85
Central Queensland Coal Associates,Australia,Coal mining,50,50
