Ppeeee Soeeei,Target,FY2021 result Workplace fatalities,Year-on-year FY20170,
Ppeeee Soeeei,Zero work-related fatalities,0,,FY2018 FY2019(2) FY2020 FY2021
Ppeeee Soeeei,Year-on-year improvementof totalrecordable injury frequency(3) (TRiF)permillionhours worked,Total recordable injury frequency decreased by 11% compared to FY2020,FY2017(4) FY2018(4) FY2019(5) FY2020 FY2021,4.2 4.4 4.7 4.2 3.7
Ppeeee Soeeei,"50 per cent reduction in the number of workers potentiallyexposed toourmostmaterial exposuresof diesel particulate matter,respirable silica and coal mine dust compared to our FY2017 baseline by FY2022",Occupational exposures 70% reduction compared to FY2O17 baseline,Adjusted FY2017baseline FY2018 FY2019(8) FY2020 FY2021(9),"4,266 3.032 2,192 1,744 1,280"
Ppeeee Soeeei,Zero significant community events(10),FY2021 0,FY2017 FY2018 FY2019 FY2020 FY2021,0 0 0 0 0
Ppeeee Soeeei,Not less than 1per cent of pre-tax profits(11 invested in community programs thatcontribute to the quality of life in the communities where we operate and support the achievement of the UN Sustainable Development Goals,Social investment spend US$174.8m,FY2017013) FY2018 FY2019014) FY2020,US$80.2 million US$77.1million US$93.5million US$149.6 million
Ppeeee Soeeei,"By FY2022,implement our Indigenous Peoples Strategy acrossall our operated assets through the development of Regional Indigenous Peoples Plans",Regional Indigenous People Plans being implemented across Australia (Reconciliation Action Plan (RAP))and North and South America,FY2021,US$174.8 million
Girriit Cbeege,"ByFY2022, maintain operational (Scope1and Scope 2) greenhousegasemissionsatorbelowFY2017levels(i5)16) while we continue to grow our business","Greenhouse gas emissions 16.2 MtCO2-e Whileour annual emissions are currently higher than the FY2O17adjusted baseline,our GHG emissions forecasts suggest we are on track",FY2017(15) FY2018(16) FY2019(16) FY2020(16),14.6 million tonnes carbon dioxide equivalent (MtCO2-e) 17MtCO2-e 15.9 MtCO2-e
trirninin,Zero significant environmental events(10),tomeet our FY2022 target FY2021 0,FY2021 FY2017 FY2018 FY2019,15.9 MtCOz-e 16.2 MtCO2-e 0 0 0 0
trirninin,Reduce FY2022 withdrawaloffresh water(17) by15 per cent from FY2017 levels,27%,FY2020 FY2021 FY2018,"0 AdjustedFY2017baseline(18)156,120ML 140,515ML"
trirninin,,freshwater withdrawal reduction fromFY2017baseline(18),FY2019 FY2020 FY2021,"155,570ML 126,997ML 113,444ML"
trirninin,"ByFY2022,improvemarineand terrestrial biodiversity outcomesbydevelopinga framework toevaluate and verify the benefits of our actions,in collaboration with others","Progressed framework development, including pilots and approaches to data validation in collaboration with others. On track to deliver by end of FY2022",benefits of our actions,Year-on-year progress on development of framework to evaluateand verify the
