2021,US$M,Interest bearing liabilities,Bank loans,Notes and debentures,Lease liabilities,Bank overdraft and short-term borrowings,Other,Derivatives (assets)/liabilities,Cross currency and interest rate swaps,Total
At the beginning of the financial year,2492,,21045,3443,0,0,68,433,0,568
Proceeds from interest bearing liabilities,504,-,-,0,0,0,0,,0,568
Settlements of debt related instruments,,-,-,-,167,0,0,167,0,167
Repayment of interest bearing liabilities,,-,(6888),(770),-,-,0,0,0,8395
Change from Net financing cash flows,-737 (233),-(6888),-(770),-,64,,167,-7660,,
Other movements:,,,,,,,,,,
Loss on bond repurchase,,,579,,,,(184),,,184
Interest rate impacts,,-,-,,,,,704,,704
Foreign exchange impacts,-1,798,115,,-14,,,-796,,796
Lease additions,,,,,,,,,,
Remeasurement of index-linked freight contracts,,,-,,,,,,,
Other interest bearing liabilities/derivative related changes,2,-1,-56,,60,58,-15,-557,,-557
At the end of the financial year,2260,,14769,3896,,,58,557,,
