Deposit,Mining method,Coal Resources,Coal Reserves
"Goonyella Riverside, Norwich Park, Saraji",OC,"≥ 0.5m seam thickness, core yield ≥50% and <35% raw ash",≥ 0.5m seam thickness
Peak Downs,OC,≥ 0.5m seam thickness and <35% raw ash,≥ 0.5m seam thickness
Caval Ridge,OC,"≥ 0.3m seam thickness, core yield ≥30% and <35% raw ash",≥ 0.4m seam thickness
Blackwater,OC,"≥ 0.3m seam thickness, core yield ≥50% and <40% raw ash",≥ 0.3m seam thickness
Daunia,OC,"≥ 0.3m seam thickness, core yield ≥50% and <35% raw ash",≥ 0.3m seam thickness
Brookmeadow,UG,"≥ 2.0m seam thickness, core yield ≥50% and <35% raw ash",≥ 2.5m seam thickness
Norwich Park,UG,"≥ 2.0m seam thickness, core yield ≥50% and <35% raw ash",
Blackwater,UG,"≥ 2.0m seam thickness, core yield ≥50% and <40% raw ash",
South Walker Creek,OC,"≥ 0.5m seam thickness, core yield ≥50%, <35% raw ash and 100m lease boundary buffer",≥ 0.3m seam thickness
,UG,"≥ 2.0m seam thickness, core yield ≥50% and <35% raw ash",
Poitrel,OC,"≥ 0.3m seam thickness, core yield ≥50% and <35% raw ash",≥ 0.3m seam thickness
"Red Hill, Saraji East",OC,"≥ 0.5m seam thickness, core yield ≥50% and <35% raw ash",
,UG,"≥ 2.0m seam thickness, core yield ≥50% and <35% raw ash",
Nebo West,OC,"≥ 0.5m seam thickness, core yield ≥50% and <150m below surface",
Bee Creek,OC,"≥ 0.5m seam thickness, <100m below surface, core yield ≥ 50% and <35% raw ash",
Wards Well,UG,≥ 2.0m seam thickness and core yield ≥ 50%,
