Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,Atacama Public road BHP 100% BHP Mining First copper Open-cut Spence-ownedCrushing facilities,,,
Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Desert Copper cathode concession producedin,Enriched transmission,Enriched transmission,feed concentrator,feed concentrator,,,
162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,162 km northeast transported by from Chilean 2006,and oxidised lines connect to,and oxidised lines connect to,and leaching,and leaching,,,
"of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth","of Antofagasta, rail to ports at Government Spence Growth",porphyry Chile's northern,porphyry Chile's northern,processes,processes,,,
Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,Chile Mejillones and valid indefinitelyOption (SGO)(subject to,copper depositpower grid,copper depositpower grid,1copper,1copper,,,
(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,(subject toAntofagasta project (i.e. newpaymentof 95 ktpd copper,containing insitu,Electricity,concentrator,concentrator,,,
,,,paymentof 95 ktpd copperannual fees),paymentof 95 ktpd copperannual fees),paymentof 95 ktpd copperannual fees),paymentof 95 ktpd copperannual fees),paymentof 95 ktpd copperannual fees),paymentof 95 ktpd copperannual fees),paymentof 95 ktpd copperannual fees),,,,,,,
Copper,Copper,Copper,,,,,,,,copper oxide,purchased from,plant with 95,plant with 95,,,
,annual fees) concentrator and mineralisationconcentrate,annual fees) concentrator and mineralisationconcentrate,annual fees) concentrator and mineralisationconcentrate,annual fees) concentrator and mineralisationconcentrate,annual fees) concentrator and mineralisationconcentrate,annual fees) concentrator and mineralisationconcentrate,annual fees) concentrator and mineralisationconcentrate,annual fees) concentrator and mineralisationconcentrate,annual fees) concentrator and mineralisationconcentrate,mineralisation,external vendors,ktpd capacity,ktpd capacity,,,
,transported by molybdenum,transported by molybdenum,transported by molybdenum,transported by molybdenum,transported by molybdenum,transported by molybdenum,transported by molybdenum,transported by molybdenum,transported by molybdenum,that overlies a Renewable,that overlies a Renewable,(by-products:,(by-products:,,,
,rail or trucks to,rail or trucks to,rail or trucks to,rail or trucks to,rail or trucks to,rail or trucks to,rail or trucks to,rail or trucks to,rail or trucks to,power,power,"gold and silver),","gold and silver),",,,
,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,sequence of,agreements,molybdenum,molybdenum,,,
,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,port in Mejllones first copper inDecember 2020,December 2020,December 2020,December 2020,supergene,sianed in EY2020,"plantandaT,OO0","plantandaT,OO0"
,,,,,,,,,,"sulphides,",with supply to,Ips desalinated,Ips desalinated,,,
,,,,,,,,,,transitional,commence in,water plant,water plant,,,
,,,,,,,,,,"sulphides,and",FY2022,"under a Build,","under a Build,",,,
,,,,,,,,,,finally primary,,"Own,Operate,","Own,Operate,",,,
,,,,,,,,,,(hypogene),,Transfer (BOOT),Transfer (BOOT),,,
,,,,,,,,,,sulphide,,agreement,agreement,,,
,,,,,,,,,,mineralisation,,Dynamic leach,Dynamic leach,,,
,,,,,,,,,,,,,"pads,solvent","pads,solvent",,
,,,,,,,,,,,,extraction and,extraction and,,,
,,,,,,,,,,,,electrowinning,electrowinning,,,
,,,,,,,,,,,,plant,plant,,,
,,,,,,,,,,,,Nominal capacity,Nominal capacity,,,
,,,,,,,,,,,,of tank house:,of tank house:,,,
,,,,,,,,,,,,200 ktpa copper,200 ktpa copper,,,
,,,,,,,,,,,,cathode,cathode,,,
