As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,
Commodity,Mining,,Measured Resources,Measured Resources,Measured Resources,Indicated Resources Mt,Indicated Resources Mt,Indicated Resources Mt,Indicated Resources Mt
deposit(2,method,Coal type,Mt,%Ash,%VM,%S,%Ash,%VM,%S
Metallurgical coaloperations,Metallurgical coaloperations,Metallurgical coaloperations,Metallurgical coaloperations,Metallurgical coaloperations,Metallurgical coaloperations,Metallurgical coaloperations,Metallurgical coaloperations,Metallurgical coaloperations,Metallurgical coaloperations
Queensland coal,Queensland coal,Queensland coal,Queensland coal,Queensland coal,Queensland coal,Queensland coal,Queensland coal,Queensland coal,Queensland coal
CQCAJV,,,,,,,,,
Goonyella Riverside,OC,Met,748,8.8,22.6,0.53 0.52,32 11.2,24.3,0.56
Broadmeadow,UG,Met,564,9.4,21.2,423,10.2,22.9,0.55
Peak Downs,OC,Met,1.036,10.2,19.4 0.60,508 216,10.4,19.1,0.63
Caval Ridge,OC,Met,318,12.3,22.0 0.56,,11.9,20.1,0.56
Saraji,OC,Met,788,10.6,17.6 0.64,104,12.0,17.9,0.78
Norwich Park,OC,Met,221,9.6,17.6 0.66,128,9.9,17.5,0.71
,UG,Met,,1,1,20,9.4,17.4,0.73
Blackwater,8,Met/Th,335,5.2,29.6 0.42,528,5.5,29.7,0.44
,,Met/Th,-,1,,1,1,1,-
Daunia(③,OC,Met/PCI,91,78,20.9 0.36,35 -,8.2,20.6,0.36
,OC,PCI,-,-,-,,-,1,1
,OC,Met,1,1,,1,,,1
BHP Mitsui Coal,,,,,,,119,,
South Walker Creek,品,Met/PCI,201,10.2,13.3,0.31,9.4,14.3,0.30
Poitrel,,Met/PCI,36,10.0,13.8,0.31,10.4,12.7,0.28
,OC,Met,42,7.9,23.9 0.35,154 49,8.0,24.1,0.35
Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal,Metallurgical coal projects Queensland coal
CQCAJV,,,,,,,,,
Red Hill,OC,Met,,,二,25,12.4,19.8,0.49
Saraji East,UG,Met,,,,"1,123 676",9.8,19.5,0.52
,0C,Met,458,10.2,16.0,0.63,10.3,15.8,0.67
BHP Mitsui Coal,UG,Met,1,,,1,35 8.3,13.6,0.59
Nebo West,OC,Anth,,,,,,,1
Bee Creek,OC,Met/Th,,,,,8.9,15.4,0.40
Wards Well4),UG,,,,=,二,9.4 8.9,20.9,
,UG,Met/PCI,二,二,,1.164,,1,0.52
,,Met,,,,,,,1
