Commodity deposit,Ore type,Measured Resources,Indicated Resources,Inferred Resources,Total Resources,BHP interest
Leinster,OC Disseminated Sulphide,4.1,77,52,133,"""0.60,100"""
Leinster,OC Massive Sulphide,0.25,1.0,0.37,1.6,"""4.8,"""
Leinster,OC,-,-,-,-,-
Leinster,UG Disseminated Sulphide,15,10,3.2,28,"""1.6,"""
Leinster,UG Massive Sulphide,0.63,2.4,1.1,4.2,"""4.6,"""
Leinster,UG,-,-,-,-,-
Leinster,Oxide,-,-,-,5.2,"""1.8,"""
Leinster,SP,-,-,1.5,1.5,"""0.76,"""
Leinster,SP Oxidised,-,-,1.9,1.9,"""1.7,"""
Mt Keith,OC Disseminated Sulphide,133,67,24,224,"""0.53,100"""
Mt Keith,SP,3.6,-,-,3.6,"""0.49,"""
Cliffs,UG Disseminated Sulphide,-,-,6.3,7.9,"""0.89,100"""
Cliffs,Disseminated Sulphide,-,-,-,-,-
Cliffs,UG Massive Sulphide,0.79,1.1,0.47,2.3,"""3.6,"""
Cliffs,Massive Sulphide,-,-,-,-,-
Yakabindie,OC Disseminated Sulphide,137,107,170,414,"""0.61,100"""
Yakabindie,SP,2.1,-,-,2.1,"""0.59,"""
Venus,UG Disseminated Sulphide,1.2,5.4,1.1,7.7,"""1.7,100"""
Venus,Disseminated Sulphide,-,-,-,-,-
Venus,UG Massive Sulphide,0.11,0.70,0.35,1.2,"""6.3,"""
Venus,Massive Sulphide,-,-,-,-,-
Honeymoon Well,OC Disseminated Sulphide,-,138,6.5,144,"""0.62,100"""
Honeymoon Well,UG Disseminated Sulphide,9.1,18,3.8,31,"""0.74,"""
Honeymoon Well,UG Massive Sulphide,0.35,0.92,0.17,1.4,"""6.3,"""
Jericho,OC Disseminated Sulphide,-,-,31,31,"""0.59,100"""
West Jordan,OC Disseminated Sulphide,-,-,43,43,"""0.52,100"""
