Notes,2021 US$M,2020 US$M Restated
ASSETS,,
Current assets,Cash and cash equivalents,"15,246,13,426"
Current assets,Trade and other receivables,"6,059,3,364"
Current assets,Other financial assets,"230,84"
Current assets,Inventories,"4,426,4,101"
Current assets,Assets held for sale,"324,--"
Current assets,Current tax assets,"279,366"
Current assets,Other,"129,130"
Total current assets,26,"693,21,471"
Non-current assets,Trade and other receivables,"337,267"
Non-current assets,Other financial assets,"1,610,2,522"
Non-current assets,Inventories,"1,358,1,221"
Non-current assets,Property,"plant and equipment,73,813,72,362"
Non-current assets,Intangible assets,"1,437,1,574"
Non-current assets,Investments accounted for using the equity method,"1,742,2,585"
Non-current assets,Deferred tax assets,"1,912,3,688"
Non-current assets,Other,"25,43"
Total non-current assets,82,"234,84,262"
Total assets,108,"927,105,733"
LIABILITIES,,
Current liabilities,Trade and other payables,"7,027,5,767"
Current liabilities,Interest bearing liabilities,"2,628,5,012"
Current liabilities,Liabilities directly associated with the assets held for sale,"17,--"
Current liabilities,Other financial liabilities,"130,225"
Current liabilities,Current tax payable,"2,800,913"
Current liabilities,Provisions,"3,696,2,810"
Current liabilities,Deferred income,"105,97"
Total current liabilities,16,"403,14,824"
Non-current liabilities,Trade and other payables,"--,1"
Non-current liabilities,Interest bearing liabilities,"18,355,22,036"
Non-current liabilities,Other financial liabilities,"1,146,1,414"
Non-current liabilities,Non-current tax payable,"120,109"
Non-current liabilities,Deferred tax liabilities,"3,314,3,779"
Non-current liabilities,Provisions,"13,799,11,185"
Non-current liabilities,Deferred income,"185,210"
Total non-current liabilities,36,"919,38,734"
Total liabilities,53,"322,53,558"
Net assets,55,"605,52,175"
EQUITY,,
Share capital - BHP Group Limited,1,"111,1,111"
Share capital - BHP Group Plc,1,"057,1,057"
Treasury shares,--33,--5
Reserves,2,"350,2,306"
Retained earnings,46,"779,43,396"
Total equity attributable to BHP shareholders,51,"264,47,865"
Non-controlling interests,4,"341,4,310"
Total equity,55,"605,52,175"
