Employee matters,
24 Key management personnel,174
25 Employee share ownership plans,174
"26 Employee benefits, restructuring andpost-retirement employee benefits provisions",177
27 Pension and other post-retirement obligations,178
28 Employees,179
Group and related party information,
29 Discontinued operations,179
30 Subsidiaries,180
31 Investments accounted for using the equity method,180
32 Interests in joint operations,183
33 Related party transactions,183
Unrecognised items and uncertain events,
34 Contingent liabilities,184
35 Subsequent events,185
Other items,
36 Auditor's remuneration,185
37 BHP Group Limited,186
38 Deed of Cross Guarantee,186
39 New and amended accounting standards and 188interpretations and changes to accounting policies,39 New and amended accounting standards and 188interpretations and changes to accounting policies
