Australia US$M,United States US$M,Other US$M,Total US$M,Standardised measure
Future cash inflows,8948,13437,1561,"23946,2021"
Future production costs,3783,5122,418,9323
Future development costs,4118,2996,261,7375
Future income taxes,706,944,438,676
Future net cash flows,1753,4375,444,6572
Discount at 10 per cent per annum,160,1468,93,1721
1593,2907,351,4851,Standardised measure
Future cash inflows,11526,12997,1660,"26183,2020"
Future production costs,4027,4943,494,9464
Future development costs,4124,3242,433,7799
Future income taxes,187,880,473,1540
Future net cash flows,3188,3932,260,7380
Discount at 10 per cent per annum,642,1586,94,2322
2546,2346,166,5058,Standardised measure
Future cash inflows,18292,18076,1807,"38175,2019"
Future production costs,4710,4917,459,10086
Future development costs,3860,4516,226,8602
Future income taxes,2551,1657,711,4919
Future net cash flows,7171,6986,411,14568
Discount at 10 per cent per annum,1926,3396,94,5416
5245,3590,317,9152,Standardised measure
