Land and buildings US$M,Plant and equipment US$M,Total US$M,Land and buildings US$M,Plant and equipment US$M,Total US$M
Net book value,,,,,
At the beginning of the financial year(1),689,"2,358","3,047",492,492
Assets recognised on adoption of IFRS 16,,,,,
Additions,25,"1,227","1,252",104,"332,436"
Remeasurements of index-linked freight contracts,,,,,
Depreciation expensed during the period,(111),(670),(781),(113),"(543),(656)"
Depreciation classified as exploration,,,,,
Impairments,(30),(2),(32),(2),"(22),(24)"
Transfers and other movements,65,(123),(58),54,(54)
At the end of the financial year,638,"2,712","3,350",689,"2,358,3,047"
Cost,897,"4,393","5,290",804,"3,349,4,153"
Accumulated depreciation and impairments,(259),"(1,681)","(1,940)",(115),"(991),(1,106)"
