Key audit matter,"Evaluating the qualifications, competence and objectivity of the Group's subject matter experts, and the independent external party that contribute to the determination of the cash flow estimates by considering their qualifications, scope of work and remuneration structure",,,,,
,Comparing the nature and extent of remediation activities described in the Framework Agreement to the activities included in the cash flow forecasts,,,,,
,"Selecting a sample of cost estimates included in the provision and considering the underlying supporting documentation, such as court decisions",,,,,
,Assessing the period in which a provision change was recorded by understanding when the event that caused the change occurred,,,,,
,"Assessing the Germano dam decommissioning provision, with the assistance of our subject matter specialists, as part of our audit procedures reported in the Closure and rehabilitation provisions key audit matter above",,,,,
,Determining whether or not it is possible to provide a range of outcomes or a reliable estimate of any potential settlement outcomes,,,,,
,Evaluating the historical accuracy of prior year's forecasted cash flows by comparing to the current year's actual cash flows,,,,,
Why significant,"The significant size of the potential claims, combined with the multi-jurisdictional legal and regulatory locations",,,,,
How our audit addressed the key audit matter,"Refer to Note 3 'Exceptional items',Note 4 'Significant events - Samarco dam failure' and Note 34 'Contingent liabilities'",,,,,
,"The primary audit procedures we performed,amongst others,included the following:",,,,,
,"We assessed the design of,and tested the operating effectiveness of the internal controls over the Samarco dam failure accounting and disclosure process. This included testing controls over:",,,,,
,"The determination of the provision for the remediation of the Samarco dam failure,including significant assumptions such as the cost estimate to remediate,the nature and extent of remediation activities and compensation for the impacted peoples; and",,,,,
,The Group's assessment of the legal claims and determination of the associated provision and related contingent liability disclosures.,,,,,
,We assessed the key assumptions used to determine the provision recorded by the Group in relation to potential obligations by:,,,,,
,Understanding the impact of any Brazilian court decisions on the number and compensation category of impacted peoples;,,,,,
,Understanding the impact of any Brazilian court decisions on the infrastructure remediation program relating to the resettling of communities impacted by the dam failure;,,,,,
,"Inquiring with the Group's subject matter experts for the various remediation programs regarding the cost estimate to remediate the environment,residents' wellbeing and infrastructure damaged by the dam failure;",,,,,
Key observations communicated to the Risk and Audit Committee,,,,,,
