Operation & location,Product,Ownership,Operator,"Title, leases oroptions",Nominal production capacity,"Facilities, use &condition",
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,
Greater Angostura Offshore,Greater Angostura Offshore,Greater Angostura Offshore,Greater Angostura Offshore,Greater Angostura Offshore,Greater Angostura Offshore,Greater Angostura Offshore,
Trinidad and Tobago,Oil and gas,BHP 45% National Gas Company 30% Chaoyang 25%,BHP,Production sharing contract with the Trinidad and Tobago Government entitles us to operate Greater Angostura,100 Mbbl/d oil 340 MMcf/d gas,Integrated oil and gasdevelopment: central processing platformconnectedto 4 wellhead platforms and a gas export platform 31 wells completed,
Ruby,Ruby,Ruby,Ruby,Ruby,Ruby,Ruby,
Offshore Trinidad and Tobago,Oil and gas,BHP 68.46% Heritage Petroleum 20.13%,BHP,Production sharing contract with the Trinidad and Tobago Government,16 Mbbl/d oil 80 MMcf/d gas,Single well head protector platform (WPP) consisting of 5 oil/gas producers tied back to the existing CPP/GEP facilties in,
Offshore Trinidad and Tobago,Oil and gas,BHP 68.46% Heritage Petroleum 20.13%,BHP,National Gas Company entitles us to operate Ruby until 2038,16 Mbbl/d oil 80 MMcf/d gas,Single well head protector platform (WPP) consisting of 5 oil/gas producers tied back to the existing CPP/GEP facilties in,
Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,
ROD Integrated Development Onshore,ROD Integrated Development Onshore,ROD Integrated Development Onshore,ROD Integrated Development Onshore,ROD Integrated Development Onshore,ROD Integrated Development Onshore,ROD Integrated Development Onshore,
Berkine Basin,Berkine Basin,Berkine Basin,Berkine Basin,Berkine Basin,Berkine Basin,Berkine Basin,
900 km southeast of,Oil,BHP 45% interest in Joint Sonatrach/ 401a/402a production ENl entity,,Production sharing Approximately,,Development and production of 6oil,
900 km southeast of,Oil,BHP 45% interest in Joint Sonatrach/ 401a/402a production ENl entity,,Production sharing Approximately,,Development and production of 6oil,
900 km southeast of,"Algiers,Algeria",sharing contract ENI55% BHP effective 28.85% interest in ROD,,contract with Sonatrach (title holder),80Mbbl/d oil,fields 2 largest fields (ROD,
900 km southeast of,"Algiers,Algeria",sharing contract ENI55% BHP effective 28.85% interest in ROD,,contract with Sonatrach (title holder),80Mbbl/d oil,"and SF SFNE)extend intoneighbouring blocks 403a,403d Production through dedicated processing train on block 403",
