,2021,2020,
,,,2019
Scope 1GHG emissions(6),10.0,9.6,9.7
Scope 2 GHG emissions(7),6.2,6.3,6.2
Total operational GHG emissions Total operational GHG emissions (adjusted for,16.2,15.9,15.9
Discontinued operations)(8) Operational GHG emissions intensity (tonnes CO2-e per,16.2,15.9,15.5
tonne of copper equivalent production)(9) Percentage of Scope 1GHG emissions covered under,2.2,2.0,2.4
an emissions-limiting regulation(10),81%,80%,75%
Percentage of Scope 1GHG emissions from methane,21%,19%,19%
Scope 2 GHG emissions (location based)(7),5.0,5.1,5.1
Carbon offsets retired(12),0.3,,
Total operational GHG emissions (including carbon offsets)(12),15.9,,
