Financialyear,,"Single total figure of remuneration,U$(000)",CDP/STIP (% of maximum),LTIP (% of maximum)
Executive Director Mike Henry,FY2021,"14,521",77,100
,FY2020,"6,069",64,48
Andrew Mackenzie,FY2020m,2.424,64,48
Andrew Mackenzie,FY2019,3.531,32,0
Andrew Mackenzie,FY2018,4657,60,0
Andrew Mackenzie,FY2017,4.554,57,0
Andrew Mackenzie,FY2016,2.241,0,0
Andrew Mackenzie,FY2015,4.582,57,0
Andrew Mackenzie,FY2014,7988,77,58
Andrew Mackenzie,FY2013（2,9.740,47,65
Andrew Mackenzie,FY2013(2),5.624,47,65
Marius Kloppers,FY2012,"16,092",0,100
